Energy,Counts,CountErr,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
2.2,54,7.3484692,1.1945656,3158.0066,0.16255979,LnL70+L,1.0320058,1.3571254,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
2.4,52,7.2111026,1.1503224,3158.0066,0.15952102,LnL70+L,0.9908014,1.3098434,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
2.6,56,7.4833148,1.2388088,3158.0066,0.16554278,LnL70+L,1.073266,1.4043515,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
2.8,58,7.6157731,1.2830519,3158.0066,0.16847297,LnL70+L,1.114579,1.4515249,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
3,74,8.6023253,1.6369973,3158.0066,0.19029707,LnL70+L,1.4467002,1.8272944,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
3.2,61,7.8102497,1.3494167,3158.0066,0.1727751,LnL70+L,1.1766416,1.5221918,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
3.4,66,8.1240384,1.4600246,3158.0066,0.17971661,LnL70+L,1.280308,1.6397412,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
3.6,45,6.7082039,0.99547132,3158.0066,0.1483961,LnL70+L,0.84707522,1.1438674,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
3.8,31,5.5677644,0.68576913,3158.0066,0.12316777,LnL70+L,0.56260136,0.80893691,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
4,13,3.6055513,0.2875806,3158.0066,0.079760509,LnL70+L,0.2078201,0.36734111,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
4.2,17,4.1231056,0.37606694,3158.0066,0.091209632,LnL70+L,0.28485731,0.46727658,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
4.4,8,2.8284271,0.17697268,3158.0066,0.062569291,LnL70+L,0.11440339,0.23954197,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
4.6,9,3,0.19909426,3158.0066,0.066364755,LnL70+L,0.13272951,0.26545902,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
4.8,19,4.3588989,0.42031011,3158.0066,0.096425753,LnL70+L,0.32388436,0.51673587,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
5,12,3.4641016,0.26545902,3158.0066,0.076631418,LnL70+L,0.1888276,0.34209044,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
5.2,14,3.7416574,0.30970219,3158.0066,0.082771392,LnL70+L,0.2269308,0.39247358,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
5.4,19,4.3588989,0.42031011,3158.0066,0.096425753,LnL70+L,0.32388436,0.51673587,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
5.6,21,4.5825757,0.46455328,3158.0066,0.10137384,LnL70+L,0.36317945,0.56592712,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
5.8,12,3.4641016,0.26545902,3158.0066,0.076631418,LnL70+L,0.1888276,0.34209044,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
6,9,3,0.19909426,3158.0066,0.066364755,LnL70+L,0.13272951,0.26545902,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
6.2,24,4.8989795,0.53091804,3158.0066,0.10837319,LnL70+L,0.42254485,0.63929123,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
6.4,18,4.2426407,0.39818853,3158.0066,0.093853937,LnL70+L,0.30433459,0.49204247,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
6.6,14,3.7416574,0.30970219,3158.0066,0.082771392,LnL70+L,0.2269308,0.39247358,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
6.8,9,3,0.19909426,3158.0066,0.066364755,LnL70+L,0.13272951,0.26545902,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
7,22,4.6904158,0.48667487,3158.0066,0.10375943,LnL70+L,0.38291544,0.5904343,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
7.2,17,4.1231056,0.37606694,3158.0066,0.091209632,LnL70+L,0.28485731,0.46727658,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
7.4,26,5.0990195,0.57516121,3158.0066,0.11279839,LnL70+L,0.46236282,0.6879596,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
7.6,16,4,0.35394536,3158.0066,0.08848634,LnL70+L,0.26545902,0.4424317,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
7.8,32,5.6568542,0.70789072,3158.0066,0.12513858,LnL70+L,0.58275214,0.8330293,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
8,28,5.2915026,0.61940438,3158.0066,0.11705642,LnL70+L,0.50234795,0.7364608,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
8.2,35,5.9160798,0.77425547,3158.0066,0.13087306,LnL70+L,0.64338241,0.90512854,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
8.4,27,5.1961524,0.59728279,3158.0066,0.11494713,LnL70+L,0.48233567,0.71222992,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
8.6,48,6.9282032,1.0618361,3158.0066,0.15326284,LnL70+L,0.90857324,1.2150989,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
8.8,44,6.6332496,0.97334974,3158.0066,0.14673799,LnL70+L,0.82661175,1.1200877,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
9,58,7.6157731,1.2830519,3158.0066,0.16847297,LnL70+L,1.114579,1.4515249,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
9.2,44,6.6332496,0.97334974,3158.0066,0.14673799,LnL70+L,0.82661175,1.1200877,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
9.4,49,7,1.0839577,3158.0066,0.15485109,LnL70+L,0.92910657,1.2388088,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
9.6,35,5.9160798,0.77425547,3158.0066,0.13087306,LnL70+L,0.64338241,0.90512854,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
9.8,33,5.7445626,0.7300123,3158.0066,0.12707883,LnL70+L,0.60293347,0.85709114,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
10,24,4.8989795,0.53091804,3158.0066,0.10837319,LnL70+L,0.42254485,0.63929123,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
10.2,20,4.472136,0.4424317,3158.0066,0.098930736,LnL70+L,0.34350096,0.54136244,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
10.4,16,4,0.35394536,3158.0066,0.08848634,LnL70+L,0.26545902,0.4424317,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
10.6,15,3.8729833,0.33182377,3158.0066,0.08567653,LnL70+L,0.24614724,0.41750031,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
10.8,10,3.1622777,0.22121585,3158.0066,0.069954594,LnL70+L,0.15126126,0.29117044,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
11,9,3,0.19909426,3158.0066,0.066364755,LnL70+L,0.13272951,0.26545902,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
11.2,7,2.6457513,0.15485109,3158.0066,0.058528212,LnL70+L,0.096322882,0.21337931,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
11.4,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+L,0.078542914,0.18691611,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
11.6,4,2,0.08848634,3158.0066,0.04424317,LnL70+L,0.04424317,0.13272951,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
11.8,6,2.4494897,0.13272951,3158.0066,0.054186596,LnL70+L,0.078542914,0.18691611,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
0.2,1260,35.496479,27.873197,3158.0066,0.78523837,LnL70+S,27.087959,28.658435,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
0.4,767,27.694765,16.967256,3158.0066,0.61265209,LnL70+S,16.354604,17.579908,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
0.6,627,25.039968,13.870234,3158.0066,0.55392378,LnL70+S,13.31631,14.424158,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
0.8,414,20.34699,9.1583362,3158.0066,0.45010767,LnL70+S,8.7082285,9.6084439,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
1,258,16.062378,5.7073689,3158.0066,0.35532527,LnL70+S,5.3520437,6.0626942,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
1.2,148,12.165525,3.2739946,3158.0066,0.2691207,LnL70+S,3.0048739,3.5431153,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
1.4,105,10.246951,2.3227664,3158.0066,0.22667879,LnL70+S,2.0960876,2.5494452,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
1.6,64,8,1.4157814,3158.0066,0.17697268,LnL70+S,1.2388088,1.5927541,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
1.8,62,7.8740079,1.3715383,3158.0066,0.17418553,LnL70+S,1.1973527,1.5457238,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
2,49,7,1.0839577,3158.0066,0.15485109,LnL70+S,0.92910657,1.2388088,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
2.2,33,5.7445626,0.7300123,3158.0066,0.12707883,LnL70+S,0.60293347,0.85709114,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
2.4,29,5.3851648,0.64152596,3158.0066,0.11912838,LnL70+S,0.52239758,0.76065435,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
2.6,41,6.4031242,0.90698498,3158.0066,0.14164726,LnL70+S,0.76533773,1.0486322,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
2.8,49,7,1.0839577,3158.0066,0.15485109,LnL70+S,0.92910657,1.2388088,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
3,64,8,1.4157814,3158.0066,0.17697268,LnL70+S,1.2388088,1.5927541,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
3.2,57,7.5498344,1.2609303,3158.0066,0.1670143,LnL70+S,1.093916,1.4279446,LnL70+S,0.50250509,0.7,LnL,true,true,true,true
