Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
11.2,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.4,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.6,0.04424317,3158.0066,0.031284646,MLP@90,0.012958524,0.075527815,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11.8,0.08848634,3158.0066,0.04424317,MLP@90,0.04424317,0.13272951,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.2,60.458292,3158.0066,1.1564745,MLP@95,59.301817,61.614766,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.4,19.643967,3158.0066,0.65920839,MLP@95,18.984759,20.303176,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.6,11.658075,3158.0066,0.50783374,MLP@95,11.150242,12.165909,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
0.8,5.9285848,3158.0066,0.36214595,MLP@95,5.5664388,6.2907307,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1,4.8003839,3158.0066,0.3258713,MLP@95,4.4745126,5.1262552,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.2,2.6324686,3158.0066,0.241318,MLP@95,2.3911506,2.8737866,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.4,2.1679153,3158.0066,0.21899252,MLP@95,1.9489228,2.3869078,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.6,2.1236722,3158.0066,0.21674638,MLP@95,1.9069258,2.3404185,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
1.8,1.4821462,3158.0066,0.18107298,MLP@95,1.3010732,1.6632192,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2,1.5042678,3158.0066,0.18241926,MLP@95,1.3218485,1.686687,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.2,1.3051735,3158.0066,0.16991912,MLP@95,1.1352544,1.4750926,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.4,0.99547132,3158.0066,0.1483961,MLP@95,0.84707522,1.1438674,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.6,1.3936599,3158.0066,0.17558464,MLP@95,1.2180752,1.5692445,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
2.8,1.5042678,3158.0066,0.18241926,MLP@95,1.3218485,1.686687,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3,2.2121585,3158.0066,0.22121585,MLP@95,1.9909426,2.4333743,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3.2,2.0573074,3158.0066,0.21333284,MLP@95,1.8439746,2.2706402,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3.4,1.8582131,3158.0066,0.20274768,MLP@95,1.6554655,2.0609608,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3.6,1.4821462,3158.0066,0.18107298,MLP@95,1.3010732,1.6632192,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
3.8,1.0397145,3158.0066,0.15165795,MLP@95,0.88805655,1.1913724,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
4,0.46455328,3158.0066,0.10137384,MLP@95,0.36317945,0.56592712,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
4.2,0.61940438,3158.0066,0.11705642,MLP@95,0.50234795,0.7364608,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
4.4,0.26545902,3158.0066,0.076631418,MLP@95,0.1888276,0.34209044,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
4.6,0.26545902,3158.0066,0.076631418,MLP@95,0.1888276,0.34209044,MLP@95,0.68685906,0.9568089,MLP,true,true,true,true
