Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
3.6,2.1900369,3158.0066,0.22010699,FADC,1.9699299,2.4101439,FADC,0.784,0.8,LnL,true,true,false,false
3.8,1.7254836,3158.0066,0.19537255,FADC,1.5301111,1.9208562,FADC,0.784,0.8,LnL,true,true,false,false
4,1.0839577,3158.0066,0.15485109,FADC,0.92910657,1.2388088,FADC,0.784,0.8,LnL,true,true,false,false
4.2,1.1503224,3158.0066,0.15952102,FADC,0.9908014,1.3098434,FADC,0.784,0.8,LnL,true,true,false,false
4.4,0.90698498,3158.0066,0.14164726,FADC,0.76533773,1.0486322,FADC,0.784,0.8,LnL,true,true,false,false
4.6,0.59728279,3158.0066,0.11494713,FADC,0.48233567,0.71222992,FADC,0.784,0.8,LnL,true,true,false,false
4.8,1.1060792,3158.0066,0.15642323,FADC,0.94965602,1.2625025,FADC,0.784,0.8,LnL,true,true,false,false
5,0.7300123,3158.0066,0.12707883,FADC,0.60293347,0.85709114,FADC,0.784,0.8,LnL,true,true,false,false
5.2,0.79637706,3158.0066,0.13272951,FADC,0.66364755,0.92910657,FADC,0.784,0.8,LnL,true,true,false,false
5.4,1.0839577,3158.0066,0.15485109,FADC,0.92910657,1.2388088,FADC,0.784,0.8,LnL,true,true,false,false
5.6,0.81849864,3158.0066,0.13456035,FADC,0.6839383,0.95305899,FADC,0.784,0.8,LnL,true,true,false,false
5.8,0.7300123,3158.0066,0.12707883,FADC,0.60293347,0.85709114,FADC,0.784,0.8,LnL,true,true,false,false
6,0.57516121,3158.0066,0.11279839,FADC,0.46236282,0.6879596,FADC,0.784,0.8,LnL,true,true,false,false
6.2,0.92910657,3158.0066,0.14336426,FADC,0.78574231,1.0724708,FADC,0.784,0.8,LnL,true,true,false,false
6.4,0.7300123,3158.0066,0.12707883,FADC,0.60293347,0.85709114,FADC,0.784,0.8,LnL,true,true,false,false
6.6,0.68576913,3158.0066,0.12316777,FADC,0.56260136,0.80893691,FADC,0.784,0.8,LnL,true,true,false,false
6.8,0.50879645,3158.0066,0.10609139,FADC,0.40270506,0.61488785,FADC,0.784,0.8,LnL,true,true,false,false
7,0.84062023,3158.0066,0.13636661,FADC,0.70425362,0.97698684,FADC,0.784,0.8,LnL,true,true,false,false
7.2,0.68576913,3158.0066,0.12316777,FADC,0.56260136,0.80893691,FADC,0.784,0.8,LnL,true,true,false,false
7.4,0.92910657,3158.0066,0.14336426,FADC,0.78574231,1.0724708,FADC,0.784,0.8,LnL,true,true,false,false
7.6,0.66364755,3158.0066,0.12116491,FADC,0.54248264,0.78481246,FADC,0.784,0.8,LnL,true,true,false,false
7.8,1.0397145,3158.0066,0.15165795,FADC,0.88805655,1.1913724,FADC,0.784,0.8,LnL,true,true,false,false
8,0.95122815,3158.0066,0.14506093,FADC,0.80616722,1.0962891,FADC,0.784,0.8,LnL,true,true,false,false
8.2,1.172444,3158.0066,0.16104757,FADC,1.0113964,1.3334916,FADC,0.784,0.8,LnL,true,true,false,false
8.4,1.2609303,3158.0066,0.1670143,FADC,1.093916,1.4279446,FADC,0.784,0.8,LnL,true,true,false,false
8.6,1.3051735,3158.0066,0.16991912,FADC,1.1352544,1.4750926,FADC,0.784,0.8,LnL,true,true,false,false
8.8,1.437903,3158.0066,0.17834992,FADC,1.2595531,1.6162529,FADC,0.784,0.8,LnL,true,true,false,false
9,1.7476052,3158.0066,0.19662095,FADC,1.5509843,1.9442262,FADC,0.784,0.8,LnL,true,true,false,false
9.2,1.4157814,3158.0066,0.17697268,FADC,1.2388088,1.5927541,FADC,0.784,0.8,LnL,true,true,false,false
9.4,1.3715383,3158.0066,0.17418553,FADC,1.1973527,1.5457238,FADC,0.784,0.8,LnL,true,true,false,false
9.6,1.1945656,3158.0066,0.16255979,FADC,1.0320058,1.3571254,FADC,0.784,0.8,LnL,true,true,false,false
9.8,1.0618361,3158.0066,0.15326284,FADC,0.90857324,1.2150989,FADC,0.784,0.8,LnL,true,true,false,false
10,0.86274181,3158.0066,0.13814925,FADC,0.72459256,1.0008911,FADC,0.784,0.8,LnL,true,true,false,false
