backRej,cutVals,sigEff
0.10142863,0.086086086,0.0057384681
0.10097338,0.087087087,0.0058064026
0.10048687,0.088088088,0.0058943179
0.099847442,0.089089089,0.0059542601
0.099367874,0.09009009,0.0059942216
0.09887093,0.091091091,0.006034183
0.09847824,0.092092092,0.0060901291
0.097998673,0.093093093,0.0061460752
0.097585132,0.094094094,0.0062140097
0.097188967,0.095095095,0.0062739519
0.0967233,0.096096096,0.006329898
0.096302809,0.097097097,0.006385844
0.09593097,0.098098098,0.006437794
0.095510479,0.099099099,0.0064697631
0.095020486,0.1001001,0.0065416938
0.09459652,0.1011011,0.006573663
0.094158654,0.1021021,0.0066136245
0.093630434,0.1031031,0.0066655744
0.093161291,0.1041041,0.0067215205
0.092744276,0.10510511,0.0067854588
0.092299459,0.10610611,0.0068533933
0.091875493,0.10710711,0.0068893587
0.091493229,0.10810811,0.0069293201
0.09112139,0.10910911,0.0069932585
0.090773877,0.11011011,0.0070292238
0.090398563,0.11111111,0.0070931622
0.090044099,0.11211211,0.0071331237
0.089661835,0.11311311,0.0071770813
0.08927262,0.11411411,0.0072410197
0.088973759,0.11511512,0.0072809811
0.08858107,0.11611612,0.0073329311
0.088240507,0.11711712,0.0073968694
0.087858242,0.11811812,0.0074568116
0.087489879,0.11911912,0.0075167538
0.087166692,0.12012012,0.0075726999
0.08685393,0.12112112,0.0076166575
0.086530743,0.12212212,0.0076805959
0.086193655,0.12312312,0.007736542
0.085832242,0.12412412,0.0077685112
0.085522955,0.12512513,0.0078244572
0.085210193,0.12612613,0.0078963879
0.084852255,0.12712713,0.0079483378
0.084539493,0.12812813,0.0080002877
0.084226731,0.12912913,0.0080682222
0.083900069,0.13013013,0.008116176
0.083542131,0.13113113,0.008144149
0.083194618,0.13213213,0.0082200758
0.082913132,0.13313313,0.0082560412
0.082638597,0.13413413,0.0083039949
0.08230846,0.13513514,0.008359941
0.082016549,0.13613614,0.0083999025
0.081686411,0.13713714,0.0084358678
0.0813806,0.13813814,0.0085077985
0.081078263,0.13913914,0.0085557523
0.08071685,0.14014014,0.008603706
0.080407563,0.14114114,0.0086676444
0.080070476,0.14214214,0.0087275866
0.079827217,0.14314314,0.0087875288
0.079535306,0.14414414,0.0088234942
0.079226019,0.14514515,0.0088674518
0.078941058,0.14614615,0.0089313901
0.078673473,0.14714715,0.0089953285
0.078409363,0.14814815,0.00903529
0.078058375,0.14914915,0.0090712553
0.077766464,0.15015015,0.0091152129
0.077467603,0.15115115,0.0091911397
0.077206968,0.15215215,0.0092311012
0.07697761,0.15315315,0.0092950396
0.076741301,0.15415415,0.0093469895
0.076459815,0.15515516,0.0094069317
0.076233932,0.15615616,0.0094389009
0.075983722,0.15715716,0.0094908508
0.075761314,0.15815816,0.0095348084
0.075566707,0.15915916,0.009602743
0.075319973,0.16016016,0.0096746736
0.075062813,0.16116116,0.0097506004
0.074798703,0.16216216,0.0098025503
0.07459367,0.16316316,0.0098584964
0.074339986,0.16416416,0.0099104463
0.074114102,0.16516517,0.009954404
0.073881269,0.16616617,0.010026335
0.07364496,0.16716717,0.010098265
0.073408651,0.16816817,0.010178188
0.07323837,0.16916917,0.010230138
0.073036812,0.17017017,0.010278092
0.072783128,0.17117117,0.010334038
0.07257462,0.17217217,0.010385988
0.072320935,0.17317317,0.010449926
0.0720464,0.17417417,0.010533845
0.071778815,0.17517518,0.010613768
0.071539031,0.17617618,0.010681703
0.071316623,0.17717718,0.010741645
0.071153291,0.17817818,0.010789599
0.070889182,0.17917918,0.010849541
0.070614646,0.18018018,0.010913479
0.07031926,0.18118118,0.010981414
0.070079476,0.18218218,0.011021375
0.069888344,0.18318318,0.011085314
0.069610334,0.18418418,0.011161241
0.069429627,0.18518519,0.011217187
0.069162042,0.18618619,0.011261144
0.068932683,0.18718719,0.011333075
0.068741551,0.18818819,0.011401009
0.068536518,0.18918919,0.011436975
