Normalization,peak,μ/μ_max,Timestamp,Type
μ,0.71505558,0.71505558,1.51336576e+09,feCharge
μ,0.00015657393,0.43517546,1.51336576e+09,feFadc
μ,0.22603652,0.85669004,1.51370048e+09,fePixel
μ,0.79136706,0.79136706,1.51370048e+09,feCharge
μ,0.00016902248,0.46977447,1.51370048e+09,feFadc
μ,0.22603284,0.85667607,1.51390191e+09,fePixel
μ,0.78934747,0.78934747,1.51390191e+09,feCharge
μ,0.00016811064,0.46724013,1.51390191e+09,feFadc
μ,0.24564966,0.93102481,1.51888791e+09,fePixel
μ,0.88789512,0.88789512,1.51888791e+09,feCharge
μ,0.00015829491,0.43995867,1.51888791e+09,feFadc
μ,0.24463121,0.92716487,1.51897758e+09,fePixel
μ,0.88927698,0.88927698,1.51897758e+09,feCharge
μ,0.00016002719,0.44477331,1.51897758e+09,feFadc
μ,0.25670391,0.972921,1.5190611e+09,fePixel
μ,0.95527876,0.95527876,1.5190611e+09,feCharge
μ,0.00017276249,0.48016931,1.5190611e+09,feFadc
μ,0.25603096,0.97037051,1.5191482e+09,fePixel
μ,0.95550033,0.95550033,1.5191482e+09,feCharge
μ,0.00017422095,0.4842229,1.5191482e+09,feFadc
μ,0.26017884,0.98609117,1.51923634e+09,fePixel
μ,0.98135584,0.98135584,1.51923634e+09,feCharge
μ,0.00017735841,0.49294302,1.51923634e+09,feFadc
μ,0.2629084,0.99643636,1.51932023e+09,fePixel
μ,0.99423802,0.99423802,1.51932023e+09,feCharge
μ,0.00017935431,0.49849035,1.51932023e+09,feFadc
μ,0.26384867,1,1.5194077e+09,fePixel
μ,1,1,1.5194077e+09,feCharge
μ,0.00017999073,0.5002592,1.5194077e+09,feFadc
μ,0.25931372,0.98281233,1.5196348e+09,fePixel
μ,0.97344948,0.97344948,1.5196348e+09,feCharge
μ,0.00017703442,0.49204253,1.5196348e+09,feFadc
μ,0.25476606,0.96557646,1.51989997e+09,fePixel
μ,0.95832968,0.95832968,1.51989997e+09,feCharge
μ,0.00017531754,0.4872707,1.51989997e+09,feFadc
μ,0.24873877,0.94273271,1.52019462e+09,fePixel
μ,0.91653373,0.91653373,1.52019462e+09,feCharge
μ,0.00016766283,0.46599551,1.52019462e+09,feFadc
μ,0.24228248,0.91826306,1.52036374e+09,fePixel
μ,0.87197494,0.87197494,1.52036374e+09,feCharge
μ,0.00016243344,0.45146115,1.52036374e+09,feFadc
μ,0.24458985,0.9270081,1.52044736e+09,fePixel
μ,0.88296908,0.88296908,1.52044736e+09,feCharge
μ,0.00016413114,0.45617967,1.52044736e+09,feFadc
μ,0.23756197,0.90037209,1.52096012e+09,fePixel
μ,0.85463988,0.85463988,1.52096012e+09,feCharge
μ,0.00016062381,0.44643152,1.52096012e+09,feFadc
μ,0.23895375,0.90564699,1.52106131e+09,fePixel
μ,0.86710123,0.86710123,1.52106131e+09,feCharge
μ,0.00016404594,0.45594287,1.52106131e+09,feFadc
μ,0.23926421,0.90682364,1.52113676e+09,fePixel
μ,0.86368762,0.86368762,1.52113676e+09,feCharge
μ,0.00016389106,0.45551241,1.52113676e+09,feFadc
μ,0.2385223,0.90401176,1.52121772e+09,fePixel
μ,0.84893128,0.84893128,1.52121772e+09,feCharge
μ,0.00016049704,0.44607919,1.52121772e+09,feFadc
μ,0.23584551,0.89386659,1.52132016e+09,fePixel
μ,0.83297712,0.83297712,1.52132016e+09,feCharge
μ,0.0001606699,0.44655965,1.52132016e+09,feFadc
μ,0.2524864,0.95693641,1.52174052e+09,fePixel
