eventDuration,fadcReadout,szint1,szint2,runNumber
1.8916267,1,0,35,240
2.1109498,1,0,39,240
0.44795212,1,0,31,240
0.25364113,1,0,36,240
1.732727,1,4095,27,240
0.16770912,1,0,30,240
0.024463075,1,0,42,240
1.8527255,1,0,48,240
1.8222118,1,0,5,240
0.2116555,1,0,37,240
0.04356315,1,0,53,240
1.2898873,1,0,22,240
0.048001125,1,0,13,240
1.8817538,1,0,39,240
0.45142325,1,0,41,240
1.8393339,1,4095,34,240
0,1,0,31,240
1.5880771,1,0,20,240
1.2373627,1,0,47,240
0.19894465,1,0,13,240
1.6414469,1,0,43,240
0.20596992,1,0,10,240
0.1645484,1,0,59,240
0.8724187,1,0,36,240
0.62762237,1,4095,23,240
1.3260206,1,0,41,240
1.5902312,1,4095,43,240
2.1217577,1,4095,19,240
0,1,0,255,240
1.5220064,1,0,28,240
0.22202802,1,0,27,240
0.61822963,1,0,36,240
1.3739181,1,0,4,240
1.529416,1,0,45,240
1.1501595,1,4095,45,240
1.4863406,1,0,45,240
0.00690515,1,0,49,240
1.1908373,1,0,49,240
0.044847275,1,0,30,240
0.5375041,1,0,51,240
0.97444945,1,0,51,240
2.2173482,1,0,20,240
1.3565718,1,0,35,240
0.06824255,1,0,37,240
1.3026969,1,0,8,240
0.21334117,1,0,28,240
1.8146746,1,0,15,240
2.1395712,1,0,57,240
1.6370901,1,0,25,240
0.49478292,1,4095,32,240
0.3667099,1,0,12,240
1.0218307,1,0,17,240
1.5642004,1,0,29,240
1.4856581,1,0,12,240
0,1,0,255,240
1.5439386,1,0,27,240
0.45700535,1,0,42,240
1.2859904,1,0,26,240
1.569397,1,0,17,240
1.2917225,1,0,45,240
0.69241272,1,0,33,240
0,1,0,34,240
0.2505957,1,0,65,240
0.43033288,1,0,25,240
1.6488341,1,0,16,240
1.2780394,1,0,5,240
1.2648109,1,0,15,240
1.8691966,1,0,11,240
2.1701747,1,4095,32,240
0.4325565,1,0,10,240
1.5610833,1,0,19,240
1.3268563,1,0,15,240
0.20278062,1,0,55,240
0.85384947,1,0,32,240
0.22305725,1,0,11,240
1.6183111,1,0,44,240
0.44125833,1,0,38,240
0.99218578,1,0,30,240
1.935741,1,0,33,240
0.7199737,1,0,44,240
0,1,0,41,240
2.144971,1,0,49,240
1.4625351,1,0,51,240
0.095206075,1,0,9,240
0.91466325,1,0,12,240
0.74425672,1,0,53,240
0.5115336,1,0,30,240
1.081164,1,0,30,240
0.78900543,1,0,29,240
1.0402768,1,0,49,240
1.0163636,1,0,40,240
0.92434107,1,0,30,240
1.822127,1,0,50,240
0.44829545,1,0,40,240
1.6022274,1,4095,41,240
1.5976439,1,0,48,240
1.4221263,1,4095,14,240
1.6377341,1,0,39,240
