eventDuration,fadcReadout,szint1,szint2,runNumber
0.28137378,1,0,2719,258
1.1687393,1,0,3680,258
0.17005642,1,4095,424,258
0.51550438,1,0,1410,258
0.10974848,1,0,1304,258
0.75186053,1,0,3574,258
0.18653805,1,0,1251,258
1.6616221,1,0,1753,258
0.9599625,1,0,3485,261
0.8390439,1,0,3896,261
1.0314856,1,0,1181,261
0.42610938,1,0,935,261
0.7756729,1,0,770,261
2.2606541,1,0,1630,261
1.4803564,1,4095,2936,261
0.90070485,1,0,3617,261
0.41077095,1,60,352,261
0,1,54,2289,261
1.1105452,1,0,3732,261
0.3377477,1,0,3322,261
1.4316207,1,0,1191,261
1.2889953,1,0,3203,261
1.6156232,1,0,1634,261
1.956877,1,0,3055,261
0.002624025,1,0,392,261
2.0460549,1,0,1066,261
0.8678964,1,0,497,261
0.86370535,1,0,955,261
1.8186494,1,0,1586,261
0.76458063,1,0,1376,261
0.223407,1,0,3071,261
1.5746484,1,4095,3785,261
1.9408185,1,0,347,261
1.2253646,1,4095,1700,261
1.4112604,1,0,3880,261
1.6154421,1,0,2785,261
0.83905197,1,0,964,261
1.3452186,1,0,1398,261
2.2547587,1,0,2779,261
0.24317997,1,0,2942,261
0.30670432,1,0,1874,261
1.3460632,1,0,2909,261
0.008835775,1,0,1078,261
1.1539889,1,0,2266,261
1.7855763,1,4095,3767,261
0.98820228,1,0,1291,261
0.54068087,1,0,998,261
1.6318528,1,0,1656,261
1.2667163,1,0,1143,261
0.36028488,1,0,1351,261
0.24305467,1,0,1090,263
0.006036175,1,0,2375,263
1.4132874,1,0,3642,263
0.0446416,1,0,311,263
2.206629,1,4095,1554,263
1.9994511,1,50,1677,263
2.0640759,1,2748,2744,263
2.0331818,1,0,513,263
1.5247702,1,0,1092,263
1.8286737,1,0,3493,263
0.23257945,1,0,3051,263
0.8016899,1,0,3600,263
0.19209285,1,0,2210,263
0.79943853,1,4095,1067,263
0,1,0,3071,263
1.7463195,1,0,335,263
0.19408205,1,0,3597,263
1.1967489,1,0,977,263
0.44342115,1,0,2625,265
1.1992903,1,0,1180,265
0.89331785,1,4095,2329,265
0.48684347,1,0,2914,265
1.1197409,1,0,3880,265
0.82691432,1,0,1494,265
2.0396721,1,0,1178,265
0.57141375,1,0,2466,265
0.38082237,1,0,991,265
0.21221083,1,0,1840,265
1.4685291,1,0,1995,265
1.5849003,1,4095,1235,265
0.64680143,1,0,2005,265
0.6199427,1,0,3770,265
2.0884883,1,0,1976,265
0.064440025,1,0,2368,265
0.026780975,1,0,3880,265
1.7875514,1,0,3410,265
0.34630078,1,0,731,265
1.6172066,1,0,843,267
0.78973705,1,0,1235,267
0.8981985,1,0,1289,267
0.68825015,1,0,3872,268
1.1498612,1,0,3295,268
0.07924725,1,0,2802,268
0.41371783,1,0,1201,268
2.095931,1,0,811,270
0.1862583,1,0,3646,270
1.2837946,1,0,1538,270
1.287721,1,4095,1042,270
1.3568054,1,0,3153,270
0.75845637,1,0,3973,270
0.33501283,1,0,3972,270
2.2275652,1,0,624,270
0,1,0,1155,270
1.110852,1,0,3610,270
0.21548555,1,0,514,270
0,1,0,3826,270
0.96116665,1,0,381,270
1.2478619,1,0,1513,270
0.03823835,1,0,2190,270
0.42529963,1,0,1704,270
2.0959259,1,0,2407,270
1.3011001,1,0,2332,270
0.6937012,1,0,2357,270
2.1947994,1,4095,1223,270
0.27423225,1,0,3191,270
0.09211065,1,0,3157,270
1.5197255,1,4095,3398,270
1.9875491,1,0,861,270
2.0801193,1,0,1458,270
1.297707,1,0,2427,270
0,1,4095,611,270
1.0099988,1,4095,2229,270
1.3230506,1,4095,547,270
1.882781,1,4095,1461,270
1.2582405,1,0,651,270
0.82790375,1,0,2332,270
0.035690925,1,0,1901,270
1.6746575,1,0,1353,272
0.67382732,1,0,3612,272
0.9961748,1,0,2151,272
0.56512328,1,0,401,272
1.6822527,1,0,823,272
0.79577065,1,0,3947,272
1.8078726,1,0,3374,272
1.5986014,1,0,3196,272
1.7076505,1,0,2828,272
0.2450792,1,0,3757,272
2.1800776,1,0,836,272
0.65416303,1,0,3104,272
1.2961107,1,4095,1811,272
0.88838465,1,0,466,272
2.20529,1,0,792,272
1.3851975,1,0,1376,272
2.1698948,1,0,1748,272
0.60522015,1,0,385,272
1.6783884,1,0,3975,272
1.3516931,1,0,1450,272
0.0224842,1,0,2689,272
1.1704897,1,0,3119,272
0.61012352,1,0,1834,272
0,1,4095,403,272
0.18521272,1,0,3398,272
1.1175553,1,0,1595,272
1.5370496,1,0,1417,272
0.52021682,1,0,750,272
1.2696605,1,0,384,272
0.61116388,1,0,1081,272
1.4482361,1,0,330,272
0.18085972,1,0,3014,272
1.1372093,1,47,3519,272
0.81024028,1,0,1456,272
1.5188109,1,4095,1523,272
0.77261657,1,0,642,274
0.87678457,1,0,563,274
0.80763243,1,0,1112,274
1.5430281,1,0,628,274
1.2140183,1,0,1059,274
1.8666826,1,0,3499,274
0.050718325,1,0,2177,274
1.0471419,1,0,627,274
1.9595527,1,4095,1259,274
0.24672292,1,0,1073,274
0.24177275,1,0,3064,274
0.2020231,1,0,2511,274
2.2207025,1,0,361,274
1.4681936,1,0,457,274
0.30950367,1,0,3081,274
1.2420663,1,0,3308,274
1.3226084,1,0,3518,274
1.5898136,1,0,2741,274
1.1517044,1,0,3005,274
1.4237233,1,0,1228,274
1.4395788,1,0,3581,274
7.5e-08,1,0,774,274
0.55306462,1,0,366,274
0.38022203,1,0,1270,274
2.1956848,1,0,3057,274
0.44662078,1,0,2841,274
1.6627051,1,0,2192,274
2.0754,1,0,2565,274
0.81554852,1,0,437,274
0.13650803,1,0,3833,274
1.722315,1,0,2482,274
0.4751624,1,0,735,274
2.1686369,1,0,570,274
0.4784923,1,0,2337,274
0.9105424,1,0,1403,274
1.1066919,1,4095,3397,274
0.27749717,1,0,3259,274
1.6418458,1,0,2814,274
1.6054165,1,0,1678,274
0.74387905,1,0,2175,276
0.51963817,1,0,2975,276
