fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.069204981,4.3153219,7.4221148,1509631840,2.9265361,2.1442478,1.3582556,4.0164986,16.092875,1.8498458,5.0795902,70.380004,1.8218367,4.9386331,2.0372416,0.084772286,18.308107,4.1286518,3.4378436,0.004882105,6.3128487,background,30/10/2017
0.071714286,4.16772,3.2262279,1509637280,2.676497,1.5927515,1.6508434,6.6184008,15.917443,2.165855,5.3793249,66.690388,1.4859527,4.7565062,3.7985088,0.093173907,18.288017,2.9359271,3.5915223,0.0068855895,5.5579676,background,30/10/2017
0.071428571,4.3810629,3.4842979,1509642716,2.713372,1.6799531,1.4870456,4.6902784,16.585053,1.9454771,4.5249845,72.220869,1.6054645,5.0797798,2.8589744,0.087390933,18.952963,3.2055597,3.347185,0.0051697751,6.2337469,background,30/10/2017
0.071858864,4.2900489,3.2664837,1509648180,2.9147241,1.5599301,1.220852,4.882436,15.972346,1.7797064,3.9747945,62.558586,1.4281611,4.8543543,1.3786683,0.087807456,18.072993,2.4215022,3.506782,0.0053770119,5.7673247,background,30/10/2017
0.072916667,4.2622376,7.7172927,1509653604,3.0253994,2.4662249,1.7120712,5.0241203,16.358919,2.0983153,6.4017593,102.35728,2.2778421,5.1823074,4.5819311,0.091535229,19.256865,6.4693171,3.5771517,0.0063802437,10.022557,background,30/10/2017
0.075049169,4.5458271,23.859205,1509659027,2.81762,3.6776458,1.0801679,5.1740775,16.816074,1.8273317,3.5120134,89.837833,3.263744,5.0212244,0.60872043,0.0968642,18.888841,18.347957,3.4790028,0.0063338693,8.555665,background,30/10/2017
0.068181818,4.2936701,18.182178,1509664389,2.8208308,3.3410577,1.0732942,6.6503392,15.811467,2.3562622,6.6732307,82.591279,2.9896805,4.783044,0.64158663,0.088957297,17.911553,14.294815,3.5627354,0.0060800504,7.7509295,background,30/10/2017
0.074074074,4.2504065,16.071237,1509669820,3.0145625,3.106875,1.2015553,6.4950427,16.21685,2.1410599,7.7498114,114.75314,3.2473642,5.1378515,1.8384883,0.087619746,19.293097,18.726322,3.7465646,0.0051932453,9.8443529,background,30/10/2017
0.075,4.4114127,3.9320175,1509675229,2.8222434,1.6289437,1.5439366,7.2678514,16.360089,1.9450386,3.9847236,63.895811,1.5046552,4.9841416,2.8540336,0.089587584,18.672883,3.1107198,3.6645618,0.0057883373,5.7100377,background,30/10/2017
0.068965517,4.2279016,10.042442,1509680603,3.0888236,2.5354764,1.1081303,5.1488701,16.160815,1.4332126,2.4177726,80.895545,2.2470625,4.9320335,0.94459435,0.089504855,18.701938,7.0338453,3.7288826,0.0051534302,7.229205,background,30/10/2017
0.070175439,4.3394829,9.7052943,1509686010,2.868375,2.615789,1.2501781,4.945398,16.441265,2.3072035,7.328578,92.290252,2.6781412,5.1272279,2.0149239,0.088047466,18.945404,10.281377,3.3928602,0.0052163775,8.5720912,background,30/10/2017
0.075117371,4.2854949,8.3168298,1509691416,2.8709301,2.4392196,1.0179837,6.5587008,16.119782,2.0304299,4.8163359,108.64,1.9793799,5.092106,0.50743168,0.090524431,19.19971,4.3679984,3.558448,0.0056685827,9.5429294,background,30/10/2017
0.063063063,4.395413,4.6061228,1509696833,3.0057578,1.8533236,1.3934035,4.7735867,16.46098,2.1467168,6.490407,80.021299,1.7161198,5.0973878,2.0292146,0.081578015,18.98056,3.6458337,3.5537917,0.0051526991,7.0999694,background,30/10/2017
0.067321311,4.4839133,13.036171,1509702220,2.6714015,2.5783731,1.4293988,5.266393,16.920084,1.9118383,4.4403612,103.14061,2.7870367,5.2732918,2.184086,0.084941416,19.659392,14.930151,3.2571852,0.0057927343,8.7059466,background,30/10/2017
0.066946779,4.2503306,4.9278078,1509707633,2.6486513,1.8730358,1.3296226,5.9102239,15.823989,2.3128951,6.8444168,75.858913,1.6734783,4.99168,2.0336569,0.086393006,18.593239,3.1751812,3.4113656,0.0056436693,6.9539441,background,30/10/2017
