temps,gains,period
20.146612,3293.6029,"2017-10-30"
20.108511,3288.8571,"2017-10-30"
20.114311,3299.9772,"2017-10-30"
20.069678,3319.0115,"2017-10-30"
20.092533,3350.8772,"2017-10-30"
20.087736,3320.3692,"2017-10-30"
20.134446,3342.1992,"2017-10-30"
20.365194,3317.2452,"2017-10-30"
20.287088,3319.864,"2017-10-30"
20.330846,3347.529,"2017-10-30"
20.4329,3314.4713,"2017-10-30"
20.425462,3353.7322,"2017-10-30"
20.391733,3312.6467,"2017-10-30"
20.341532,3386.5672,"2017-10-30"
20.435056,3299.7016,"2017-10-30"
20.410719,3301.0808,"2017-10-30"
20.397911,3308.2006,"2017-10-30"
20.438259,3340.9396,"2017-10-30"
20.452556,3330.5247,"2017-10-30"
20.417211,3316.0118,"2017-10-30"
20.381593,3308.3644,"2017-10-30"
20.410011,3295.4205,"2017-10-30"
20.466667,3323.7009,"2017-10-30"
20.338889,3281.4643,"2017-10-30"
20.211933,3298.002,"2017-10-30"
20.263933,3287.1835,"2017-10-30"
20.316281,3271.8805,"2017-10-30"
20.402,3221.052,"2017-10-30"
20.418222,3258.9361,"2017-10-30"
20.36744,3207.7651,"2017-10-30"
20.284556,3197.7234,"2017-10-30"
20.241667,3232.5798,"2017-10-30"
20.223333,3213.5308,"2017-10-30"
20.238911,3237.6693,"2017-10-30"
20.280956,3204.1612,"2017-10-30"
20.404072,3164.5334,"2017-10-30"
20.336934,3246.8274,"2017-10-30"
20.300615,3223.5319,"2017-10-30"
20.330022,3209.6076,"2017-10-30"
20.326289,3192.437,"2017-10-30"
20.278899,3178.4371,"2017-10-30"
20.248598,3224.7491,"2017-10-30"
20.218522,3196.3826,"2017-10-30"
20.2317,3300.4523,"2017-10-30"
20.250736,3212.001,"2017-10-30"
20.223544,3237.006,"2017-10-30"
20.309256,3227.6457,"2017-10-30"
20.365622,3203.6528,"2017-10-30"
20.316331,3222.1948,"2017-10-30"
20.352879,3220.5692,"2017-10-30"
20.330144,3244.4265,"2017-10-30"
20.355278,3224.1595,"2017-10-30"
