idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
2,90,25,1540137372,1540142789,90.283333,489,734,4630,6908,0,6.31449316e+06,3193.3645,3319.0911,2918.9542,2.6426475,1.5975441,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.85478365,0
3,90,25,1540142789,1540148189,90,735,1011,6928,9215,0,6.60556013e+06,3216.7327,3339.7819,2941.9149,2.6578767,2.1706065,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.86150743,0
4,90,25,1540148189,1540153616,90.45,1012,1294,9216,11513,0,7.16342837e+06,3219.3418,3355.4903,2956.5429,2.4965794,2.3341649,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.86579109,0
5,90,25,1540153616,1540159053,90.616667,1295,1552,11525,13802,0,6.49792436e+06,3221.1753,3349.1611,2946.7311,2.5921626,1.2355814,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.86291781,0
6,90,25,1540159053,1540164502,90.816667,1553,1804,13824,16104,0,6.68199617e+06,3242.9818,3368.7236,2957.8004,2.6028586,2.3005895,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.86615932,0
7,90,25,1540164502,1540169919,90.283333,1805,2068,16130,18423,0,6.93798052e+06,3256.5118,3399.0712,3006.0674,2.3984679,2.7022579,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88029378,0
8,90,25,1540169919,1540175340,90.35,2069,2313,18433,20720,0,6.64458191e+06,3276.4971,3401.3786,2995.9535,2.5876631,2.5205349,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87733204,0
9,90,25,1540175340,1540180752,90.2,2314,2566,20736,23009,0,6.62342686e+06,3292.4196,3432.0675,3008.9618,2.4048971,2.4756744,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.8811414,0
10,90,25,1540180752,1540186183,90.516667,2567,2808,23029,25320,0,6.32902004e+06,3294.4605,3418.658,2997.5583,2.582498,1.4854025,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87780198,0
11,90,25,1540186183,1540191615,90.533333,2809,3044,25337,27587,0,6.67852315e+06,3295.6495,3409.8171,2989.1929,2.7118213,1.782484,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87535227,0
12,90,25,1540191615,1540197033,90.3,3045,3283,27645,29932,0,6.33844509e+06,3323.5648,3447.9453,3021.1963,2.5585371,1.6705331,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88472411,0
13,90,25,1540197033,1540202451,90.3,3284,3522,29945,32239,0,5.9320917e+06,3324.6497,3448.9348,3011.4069,2.5589075,1.3484445,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.88185739,0
14,90,25,1540202451,1540207862,90.183333,3523,3772,32252,34541,0,6.93029957e+06,3326.497,3462.3227,3046.7393,2.4232842,1.767742,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89220411,0
15,90,25,1540207862,1540213268,90.1,3773,4029,34555,36849,0,6.81378617e+06,3371.3429,3493.1059,3079.2997,2.5558994,2.5601622,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90173905,0
16,90,25,1540213268,1540217689,73.683333,4030,4228,36864,38740,0,5.60709857e+06,3361.0098,3492.6485,3070.9971,2.4464805,1.7689213,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.89930774,0
0,90,25,1540126462,1540131883,90.35,0,286,7,2289,0,8.27551326e+06,3417.4959,3515.5945,3004.1069,2.3868408,1.3804591,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87971967,0
1,90,25,1540131883,1540137284,90.016667,287,592,2305,4587,0,8.75158371e+06,3406.3907,3507.8194,2999.5458,2.3499971,1.7346973,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.878384,0
2,90,25,1540137284,1540142735,90.85,593,865,4593,6848,0,8.43503294e+06,3413.8507,3505.4484,2994.3805,2.4789454,1.8326148,3,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.87687142,0
