idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,gainNorm,prevVals_GGPLOTNIM_INTERNAL
2,90,25,1518907357,1518912758,90.016667,508,750,4590,6841,0,6.97063096e+06,4126.5343,4442.7832,4359.2784,3.999041,6.1389767,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90532852,0
3,90,25,1518912758,1518918165,90.116667,751,988,6862,9149,0,5.90445054e+06,4145.5234,4411.0415,4336.6206,4.5293882,5.3959012,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.900623,0
4,90,25,1518918165,1518923597,90.533333,989,1258,9153,11416,0,7.40020991e+06,3985.4976,4366.3289,4328.2216,3.6054317,3.1195046,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.89887869,0
5,90,25,1518923597,1518929028,90.516667,1259,1501,11445,13726,0,6.73611811e+06,4150.1908,4452.6019,4388.7722,4.1055491,5.5634744,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.91145376,0
6,90,25,1518929028,1518934429,90.016667,1502,1766,13739,16010,0,7.51072046e+06,3959.3928,4329.6462,4352.1126,3.7305654,4.5272803,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90384034,0
7,90,25,1518934429,1518939832,90.05,1767,2029,16030,18304,0,6.61861748e+06,4116.657,4401.9741,4344.7441,4.3423043,6.8443638,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90231008,0
8,90,25,1518939832,1518945255,90.383333,2030,2267,18308,20592,0,6.26538395e+06,4116.104,4447.5235,4355.3617,3.8672133,5.4570694,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90451513,0
9,90,25,1518945255,1518950687,90.533333,2268,2533,20606,22860,0,6.95246229e+06,4058.8949,4346.6736,4284.0879,4.4078164,5.6504183,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88971308,0
10,90,25,1518950687,1518956090,90.05,2534,2795,22890,25163,0,7.64945895e+06,3895.0059,4358.2605,4327.8605,3.1036361,3.450118,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.89880371,0
11,90,25,1518956090,1518961536,90.766667,2796,3047,25165,27423,0,6.95576724e+06,3965.0062,4369.5208,4367.5875,3.4417406,3.7066641,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90705416,0
12,90,25,1518961536,1518966973,90.616667,3048,3314,27460,29742,0,7.38538806e+06,4102.1607,4387.0771,4330.363,4.3700688,6.9845928,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.89932342,0
13,90,25,1518966973,1518972382,90.15,3315,3605,29758,32034,0,8.78244136e+06,3953.0076,4370.1499,4327.3924,3.3605465,4.532426,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.8987065,0
14,90,25,1518972382,1518973929,25.783333,3606,3675,32040,32695,0,1.82620311e+06,4112.9204,4422.626,4378.8221,4.0846485,1.9609874,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90938733,0
0,90,25,1518896499,1518901919,90.333333,0,265,2,2290,0,6.18060459e+06,4010.6586,4302.9589,4358.0069,4.5445991,5.0350654,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90506446,0
1,90,25,1518901919,1518907345,90.433333,266,502,2300,4572,0,6.02680724e+06,4055.2485,4372.9452,4413.7592,4.1868221,4.6629871,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.91664302,0
2,90,25,1518907345,1518912770,90.416667,503,761,4585,6841,0,6.37054038e+06,4053.8998,4322.7622,4358.7434,4.7574758,5.5550148,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90521743,0
3,90,25,1518912770,1518918172,90.033333,762,1015,6867,9148,0,6.10898268e+06,4003.2427,4305.2265,4352.5832,4.4443653,4.5524108,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90393808,0
4,90,25,1518918172,1518923583,90.183333,1016,1266,9156,11408,0,5.92716878e+06,4022.4101,4355.7727,4409.2381,4.077539,4.7453235,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.9157041,0
5,90,25,1518923583,1518929018,90.583333,1267,1511,11438,13711,0,5.55093038e+06,4088.1248,4347.9854,4382.3532,4.8122167,4.6237173,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.91012067,0
6,90,25,1518929018,1518934432,90.233333,1512,1755,13735,16017,0,5.83255258e+06,4030.864,4333.2556,4372.9469,4.3926114,4.6631107,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90816719,0
7,90,25,1518934432,1518939856,90.4,1756,2055,16031,18305,0,6.73410744e+06,4025.5928,4323.448,4409.8217,4.4533531,6.2414591,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.9158253,0
8,90,25,1518939856,1518945299,90.716667,2056,2320,18318,20596,0,6.65945126e+06,4015.3499,4326.0883,4372.8875,4.3255969,5.452994,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90815485,0
9,90,25,1518945299,1518950701,90.033333,2321,2583,20624,22889,0,6.37850107e+06,3994.0366,4312.4184,4387.3924,4.2777689,5.4337423,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.9111672,0
10,90,25,1518950701,1518956107,90.1,2584,2852,22896,25166,0,6.10556169e+06,4015.5596,4299.3022,4345.4629,4.6396256,4.9769052,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90245935,0
11,90,25,1518956107,1518961570,91.05,2853,3104,25172,27446,0,6.1823344e+06,3983.7088,4303.9934,4344.251,4.2743809,4.1975457,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90220766,0
12,90,25,1518961570,1518966973,90.05,3105,3370,27474,29746,0,6.83940396e+06,3988.9956,4332.2864,4360.1102,4.0305367,5.2282524,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90550129,0
13,90,25,1518966973,1518972380,90.116667,3371,3627,29758,32034,0,6.58935739e+06,4018.4965,4363.698,4417.3812,3.9678666,5.9825965,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.91739525,0
14,90,25,1518972380,1518973938,25.966667,3628,3688,32039,32699,0,1.08837597e+06,3990.3602,4271.2454,4320.6808,4.7221234,1.0510414,6,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.89731264,0
0,90,25,1518983217,1518988642,90.416667,0,248,4,2293,0,5.08381287e+06,2848.7758,2958.2177,2766.0127,3.0425631,1.4999858,0,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57444145,0
1,90,25,1518988642,1518994044,90.033333,249,494,2306,4576,0,5.43187432e+06,2875.7216,2994.6384,2784.2464,2.8664714,1.8157488,0,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57822821,0
