idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
9,90,25,1509433982,1509439383,90.016667,2207,2450,20505,23093,0,4.87975305e+06,4129.6899,4516.8837,4457.9956,4.6535231,6.5681593,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
10,90,25,1509439383,1509444798,90.25,2451,2688,23095,25339,0,5.12531662e+06,3923.2539,4454.9268,4417.1204,3.7297995,3.4412319,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
11,90,25,1509444798,1509450226,90.466667,2689,2926,25351,27585,0,4.68950545e+06,4098.7235,4407.5966,4354.4099,5.6891522,6.0601388,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
12,90,25,1509450226,1509455630,90.066667,2927,3206,27603,29813,0,5.2288612e+06,4114.7772,4457.8283,4378.1461,5.1901401,5.8377474,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
13,90,25,1509455630,1509461031,90.016667,3207,3447,29832,32075,0,5.25837364e+06,4089.07,4476.7807,4403.4895,4.7267791,5.6820478,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
14,90,25,1509461031,1509466444,90.216667,3448,3707,32082,34320,0,4.66719957e+06,4110.857,4440.2977,4370.7595,5.3742248,5.0425247,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
15,90,25,1509466444,1509471847,90.05,3708,3932,34332,36534,0,4.5719286e+06,4090.1476,4452.7515,4367.5298,5.0066654,5.6760873,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
16,90,25,1509471847,1509477249,90.033333,3933,4173,36569,38774,0,4.64383136e+06,4145.5743,4493.9233,4399.5985,5.0583145,5.9454182,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
17,90,25,1509477249,1509482651,90.033333,4174,4427,38795,41012,0,4.56028685e+06,4075.7138,4412.96,4326.3889,5.3538907,4.4398992,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
18,90,25,1509482651,1509488087,90.6,4428,4699,41016,43256,0,5.39373861e+06,4135.3746,4486.6814,4399.6737,5.0444318,6.5060019,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
19,90,25,1509488087,1509493504,90.283333,4700,4957,43274,45507,0,4.5126206e+06,4101.4884,4453.3745,4379.7783,5.1104171,5.8618517,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
20,90,25,1509493504,1509498906,90.033333,4958,5197,45517,47756,0,4.92062502e+06,4071.3493,4454.2846,4359.486,4.8143337,4.698472,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
