idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
15,90,25,1510241108,1510246514,90.1,3714,3956,33505,35728,0,3.8627276e+06,3894.6977,4263.9983,4219.7192,5.382256,4.5137563,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85092099,0
16,90,25,1510246514,1510250403,64.816667,3957,4120,35752,37366,0,2.90161213e+06,3817.9127,4281.9502,4216.7202,4.494895,2.9049863,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85031624,0
0,90,25,1510159806,1510165227,90.35,0,259,7,2209,0,6.44645757e+06,4055.4882,4349.5763,4181.6948,4.1681244,4.1680467,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84325326,0
1,90,25,1510165227,1510170630,90.05,260,528,2226,4439,0,6.60242306e+06,4100.25,4356.5389,4208.4894,4.5377731,4.7517479,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84865648,0
2,90,25,1510170630,1510176057,90.45,529,794,4442,6671,0,6.37107744e+06,4050.5077,4304.7924,4143.0921,4.6490096,3.7238746,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.83546888,0
3,90,25,1510176057,1510181457,90,795,1054,6684,8908,0,6.82081213e+06,4006.8087,4347.1784,4208.0693,3.7776401,2.8340083,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84857176,0
4,90,25,1510181457,1510186926,91.15,1055,1311,8911,11131,0,6.59995426e+06,4070.8347,4353.1775,4211.5665,4.2743877,5.2691234,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84927697,0
5,90,25,1510186926,1510192326,90,1312,1568,11164,13371,0,6.38192123e+06,4072.7419,4329.7233,4164.6587,4.5755886,3.7874194,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.83981786,0
6,90,25,1510192326,1510197734,90.133333,1569,1806,13383,15609,0,6.47675364e+06,3961.4273,4312.9658,4195.9389,3.7382586,3.0908941,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84612562,0
7,90,25,1510197734,1510203171,90.616667,1807,2042,15617,17836,0,5.64881322e+06,4075.4591,4326.7847,4172.861,4.6438577,4.2082442,2,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84147189,0
