centerX,centerY,hits,eccentricity,skewnessLongitudinal,skewnessTransverse,kurtosisLongitudinal,kurtosisTransverse,length,width,rmsLongitudinal,rmsTransverse,lengthDivRmsTrans,rotationAngle,energyFromCharge,fractionInTransverseRms,totalCharge,gasGain,eventNumber,Type,Target,σT,runNumber,DataType,isFake?,File,pred
7.967451,2.8777941,102,1.2608806,-0.075973734,-0.093599761,0.27312183,-0.86322451,4.5190324,2.6312525,0.82984943,0.65815069,6.8662579,2.8514658,2.8377634,0.31372549,3.52112142e+05,3.4777785,1255,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.6717658
7.7213318,3.1460514,107,1.2120326,-0.49991517,0.088590739,0.2340581,0.55751928,5.8506024,5.2557838,1.1057048,0.91227315,6.4132134,0.96469762,3.2337394,0.35514019,4.01245185e+05,3.4777785,1292,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.97249538
6.65346,9.80826,125,1.1227013,0.35557854,0.19450571,-0.41055624,-0.26135691,4.5370976,4.3313924,0.97595257,0.86928964,5.2193163,1.0737268,3.2190888,0.344,3.99427318e+05,3.4777785,1301,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.96333414
4.7569811,10.212877,106,1.0270953,0.2079648,0.14159996,-0.10378556,-0.24857226,5.4797306,4.8708857,1.0909379,1.0621585,5.1590518,2.1824952,2.9086767,0.39622642,3.60911121e+05,3.4777785,1343,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.98625946
5.5094912,11.105376,113,1.1559857,-0.17010112,-0.040138265,-0.34761605,-0.070594587,4.3799386,3.5755015,0.90356166,0.78163739,5.6035429,0.75923517,2.8808152,0.40707965,3.57454041e+05,3.4777785,1408,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.97189057
6.9814894,8.2576064,94,1.1408439,0.1610756,-0.25596739,-0.31321777,-0.096622507,1.603618,1.4965444,0.34097887,0.298883,5.3653705,2.4193336,2.793067,0.38297872,3.46566172e+05,3.4777785,1436,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.84552836
7.7974153,6.4550424,118,1.113387,-0.16939344,0.018144461,-0.24614881,0.51645122,3.0951308,3.6134128,0.72563822,0.65173946,4.7490309,0.80738066,3.1527539,0.42372881,3.91196435e+05,3.4777785,1549,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.96502286
8.1643182,3.1343182,121,1.1689239,0.12129596,0.26335062,-0.5468565,-0.1897631,4.2631488,3.9385833,0.96392839,0.82462884,5.169779,0.13544941,3.1351193,0.29752066,3.89008318e+05,3.4777785,1561,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.95165724
8.2308696,7.6719022,92,1.1968827,0.094121349,0.18879514,-0.23914509,-0.65330432,1.6361585,1.2929755,0.35669949,0.29802376,5.4900271,0.63557494,2.8892975,0.38043478,3.58506529e+05,3.4777785,1636,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.88036811
9.0674048,7.3110714,105,1.1560418,0.33339724,0.25370382,0.36887818,-0.58297791,3.9518945,2.7169077,0.70794813,0.61238975,6.4532341,0.87231527,3.3170661,0.37142857,4.11584436e+05,3.4777785,1656,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.79277909
