centerX,centerY,hits,eccentricity,skewnessLongitudinal,skewnessTransverse,kurtosisLongitudinal,kurtosisTransverse,length,width,rmsLongitudinal,rmsTransverse,lengthDivRmsTrans,rotationAngle,energyFromCharge,fractionInTransverseRms,totalCharge,gasGain,eventNumber,Type,Target,σT,runNumber,DataType,isFake?,File,pred
6.6280189,9.4428774,106,1.2188013,-0.32588146,-0.34896345,-0.10746678,-0.19953072,4.3286257,3.4812163,0.81245653,0.66660296,6.4935591,0.41650763,2.6587922,0.26415094,2.89167311e+05,2.6602214,2048,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.86120194
11.075752,7.7086043,163,1.1383908,0.031099399,0.20452099,-0.096749412,0.41519643,5.1806158,5.2775521,0.96611749,0.84866947,6.1043975,0.31628839,2.9486865,0.34355828,4.14172757e+05,2.6602214,2082,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97400826
10.21526,9.99658,125,1.1193448,0.027717743,0.13144771,-0.017505371,-0.048098202,4.2715227,3.7083161,0.79168233,0.70727295,6.0394261,1.2787476,2.1909759,0.352,3.21843568e+05,2.6602214,2103,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.96677947
5.1949219,10.940273,128,1.2430538,0.053697258,-0.15660907,-0.00078068657,-0.57926179,3.3967613,2.1143859,0.61248745,0.49272803,6.8937853,1.1124062,2.7546145,0.328125,3.99302793e+05,2.6602214,2177,signal,Ag-Ag-6kV,0.64425148,329,intermediate,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.60463536
6.51002,3.22806,125,1.1162409,0.2337756,0.13141206,-0.37973182,-0.40052549,4.4827381,4.2949899,1.0398033,0.9315223,4.8122714,1.0109064,2.8374066,0.304,3.60814777e+05,2.6602214,2190,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97614223
6.5363571,4.4212143,105,1.2866932,0.026572156,-0.43648585,-0.13308028,-0.071182874,4.4763726,3.6747097,0.97247906,0.75579718,5.9227167,2.7944132,2.6864889,0.38095238,2.77449916e+05,2.6602214,2263,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.83862883
5.1207075,4.8410377,106,1.1176836,-0.2756698,-0.47802331,0.10414208,0.61353235,2.9117985,3.3084913,0.61627266,0.55138383,5.2808921,0.94697192,2.7504789,0.39622642,3.08295685e+05,2.6602214,2288,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.85285276
9.0189921,4.647788,191,1.068373,0.28280159,0.016982521,-0.27266684,-0.10226968,5.158587,4.6497861,0.97911089,0.91645046,5.6288771,1.7698177,2.1333276,0.34554974,5.03020652e+05,2.6602214,2415,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95902532
5.0329297,4.1164062,128,1.1393296,0.045259042,0.033059579,0.28220285,-0.060504746,5.6131997,4.5083264,1.0173383,0.89292714,6.2862908,0.47838131,2.4576664,0.375,3.75924749e+05,2.6602214,2447,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97582471
6.2186667,3.614875,120,1.2497514,-0.37094013,-0.11356523,0.17580539,-0.19314035,5.587954,3.6081722,0.94225637,0.75395506,7.4115214,1.623719,2.7333989,0.30833333,3.38423663e+05,2.6602214,2533,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.93500441
4.016746,8.6629365,126,1.2718375,-0.31667935,0.19905913,-0.26083629,0.39028912,2.0926606,2.0791479,0.44102908,0.34676528,6.0348043,0.037689131,2.9710118,0.36507937,3.12872117e+05,2.6602214,2542,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.76785243
4.352378,7.7091667,123,1.1344038,-0.095997058,-0.40785356,-0.49573256,-0.34212153,4.7248863,4.7331363,1.0645905,0.93845814,5.0347331,2.4660612,2.9612527,0.3495935,3.13555093e+05,2.6602214,2552,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95228738
7.2884244,3.597416,119,1.1745347,-0.1625119,-0.24932115,-0.15671794,0.75077568,4.4003989,4.721674,0.92868559,0.7906838,5.565308,0.62303939,2.2222262,0.35294118,3.09102784e+05,2.6602214,2562,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.98392618
6.0316667,6.5061508,126,1.0184134,-0.1549683,0.13666363,-0.1782518,0.070319846,3.9141319,4.6407416,0.79457054,0.78020435,5.0168035,1.3322811,2.5521089,0.34920635,3.56031475e+05,2.6602214,2626,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95809352
7.8792376,5.720195,141,1.2095808,0.060527501,0.23846437,-0.71209547,-0.035126111,4.5797612,5.1034232,1.1381959,0.94098373,4.8669929,0.051687366,2.4224064,0.33333333,3.81558066e+05,2.6602214,2690,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97144532
6.0684766,7.3390625,128,1.1080498,0.11637248,0.052487453,-0.81864318,-0.4741848,2.5124524,2.6350325,0.6127262,0.55297714,4.5435014,2.7610627,2.2411426,0.3203125,3.5568208e+05,2.6602214,2717,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.90599072
10.757671,5.2336966,117,1.1773358,-0.17865887,0.082151979,0.33359934,-0.63613837,3.7067482,2.4787037,0.63314132,0.53777463,6.8927539,1.4031041,2.884019,0.35897436,3.17312049e+05,2.6602214,2773,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.87369668
10.150278,7.4413889,99,1.2850503,0.07646469,0.30026435,0.023970623,0.015305299,3.5720927,2.9202102,0.6905747,0.5373912,6.6470994,1.7791743,2.8251526,0.31313131,2.5244619e+05,2.6602214,2775,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95271558
5.3043443,8.1431557,122,1.2141892,-0.43088793,0.081687102,0.26698508,-0.61208094,3.2325231,2.2109894,0.5886312,0.48479362,6.6678335,2.3673737,2.9360709,0.3442623,3.32688314e+05,2.6602214,2785,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.76327103
