timestamp,RunPeriod,Interval,Median energy [keV]
1.5215e+09,17/02/2018,45,3.3062
1.5215e+09,17/02/2018,45,3.3025
1.5215e+09,17/02/2018,45,3.183
1.5215e+09,17/02/2018,45,2.7994
1.5215e+09,17/02/2018,45,3.0606
1.5215e+09,17/02/2018,45,2.9569
1.5215e+09,17/02/2018,45,3.42
1.5215e+09,17/02/2018,45,3.2907
1.5215e+09,17/02/2018,45,3.3594
1.5215e+09,17/02/2018,45,3.0057
1.5215e+09,17/02/2018,45,3.2715
1.5215e+09,17/02/2018,45,3.1897
1.5216e+09,17/02/2018,45,3.0866
1.5216e+09,17/02/2018,45,3.1916
1.5216e+09,17/02/2018,45,2.8098
1.5216e+09,17/02/2018,45,2.7978
1.5216e+09,17/02/2018,45,3.0016
1.5216e+09,17/02/2018,45,3.0712
1.5216e+09,17/02/2018,45,3.2366
1.5216e+09,17/02/2018,45,3.0977
1.5216e+09,17/02/2018,45,2.8353
1.5216e+09,17/02/2018,45,2.9944
1.5216e+09,17/02/2018,45,3.0639
1.5216e+09,17/02/2018,45,3.0187
1.5216e+09,17/02/2018,45,3.5439
1.5216e+09,17/02/2018,45,3.3309
1.5216e+09,17/02/2018,45,3.3435
1.5216e+09,17/02/2018,45,2.856
1.5216e+09,17/02/2018,45,2.8864
1.5216e+09,17/02/2018,45,2.7187
1.5216e+09,17/02/2018,45,2.9278
1.5216e+09,17/02/2018,45,2.9982
1.5216e+09,17/02/2018,45,3.1029
1.5216e+09,17/02/2018,45,2.8164
1.5216e+09,17/02/2018,45,3.2708
1.5216e+09,17/02/2018,45,3.2219
1.5216e+09,17/02/2018,45,2.9998
1.5216e+09,17/02/2018,45,3.3114
1.5216e+09,17/02/2018,45,3.0526
1.5216e+09,17/02/2018,45,3.0328
1.5216e+09,17/02/2018,45,3.0103
1.5216e+09,17/02/2018,45,3.1134
1.5216e+09,17/02/2018,45,2.9295
1.5216e+09,17/02/2018,45,3.1649
1.5216e+09,17/02/2018,45,3.1516
1.5216e+09,17/02/2018,45,2.9989
1.5216e+09,17/02/2018,45,2.9725
1.5216e+09,17/02/2018,45,2.7066
1.5216e+09,17/02/2018,45,3.2415
1.5217e+09,17/02/2018,45,3.0924
1.5217e+09,17/02/2018,45,2.9408
1.5217e+09,17/02/2018,45,2.8461
1.5217e+09,17/02/2018,45,3.0531
1.5217e+09,17/02/2018,45,2.8093
1.5217e+09,17/02/2018,45,3.3021
1.5217e+09,17/02/2018,45,3.3629
1.5217e+09,17/02/2018,45,3.135
1.5217e+09,17/02/2018,45,3.0246
1.5217e+09,17/02/2018,45,3.3673
1.5217e+09,17/02/2018,45,3.084
1.5217e+09,17/02/2018,45,3.0316
1.5217e+09,17/02/2018,45,3.2398
1.5217e+09,17/02/2018,45,3.4313
1.5217e+09,17/02/2018,45,3.3799
1.5217e+09,17/02/2018,45,3.0319
1.5217e+09,17/02/2018,45,3.1061
1.5217e+09,17/02/2018,45,3.1304
1.5217e+09,17/02/2018,45,2.9926
1.5217e+09,17/02/2018,45,2.9645
1.5217e+09,17/02/2018,45,3.2028
1.5217e+09,17/02/2018,45,2.9799
1.5217e+09,17/02/2018,45,2.8483
1.5217e+09,17/02/2018,45,2.5614
