Median energy [keV],Density,RunPeriod,Interval
2.3803804,0.26408572,17/02/2018,30
2.3823824,0.27079723,17/02/2018,30
2.3843844,0.27804635,17/02/2018,30
2.3863864,0.28585955,17/02/2018,30
2.3883884,0.29426136,17/02/2018,30
2.3903904,0.30327418,17/02/2018,30
2.3923924,0.3129182,17/02/2018,30
2.3943944,0.32321127,17/02/2018,30
2.3963964,0.33416883,17/02/2018,30
2.3983984,0.34580388,17/02/2018,30
2.4004004,0.358127,17/02/2018,30
2.4024024,0.37114631,17/02/2018,30
2.4044044,0.38486764,17/02/2018,30
2.4064064,0.39929452,17/02/2018,30
2.4084084,0.4144284,17/02/2018,30
2.4104104,0.43026878,17/02/2018,30
2.4124124,0.4468134,17/02/2018,30
2.4144144,0.46405849,17/02/2018,30
2.4164164,0.48199901,17/02/2018,30
2.4184184,0.5006289,17/02/2018,30
2.4204204,0.51994144,17/02/2018,30
2.4224224,0.53992948,17/02/2018,30
2.4244244,0.56058581,17/02/2018,30
2.4264264,0.58190345,17/02/2018,30
2.4284284,0.60387601,17/02/2018,30
2.4304304,0.62649798,17/02/2018,30
2.4324324,0.64976506,17/02/2018,30
2.4344344,0.67367447,17/02/2018,30
2.4364364,0.69822521,17/02/2018,30
2.4384384,0.72341836,17/02/2018,30
2.4404404,0.74925731,17/02/2018,30
2.4424424,0.77574796,17/02/2018,30
2.4444444,0.80289896,17/02/2018,30
2.4464464,0.83072184,17/02/2018,30
2.4484484,0.85923113,17/02/2018,30
2.4504505,0.8884445,17/02/2018,30
2.4524525,0.91838281,17/02/2018,30
2.4544545,0.94907016,17/02/2018,30
2.4564565,0.98053392,17/02/2018,30
2.4584585,1.0128047,17/02/2018,30
2.4604605,1.0459163,17/02/2018,30
2.4624625,1.0799057,17/02/2018,30
2.4644645,1.1148131,17/02/2018,30
2.4664665,1.1506815,17/02/2018,30
2.4684685,1.1875569,17/02/2018,30
2.4704705,1.2254882,17/02/2018,30
2.4724725,1.264527,17/02/2018,30
2.4744745,1.3047275,17/02/2018,30
2.4764765,1.3461463,17/02/2018,30
2.4784785,1.3888427,17/02/2018,30
2.4804805,1.432878,17/02/2018,30
2.4824825,1.478316,17/02/2018,30
2.4844845,1.5252227,17/02/2018,30
2.4864865,1.5736658,17/02/2018,30
2.4884885,1.6237156,17/02/2018,30
2.4904905,1.6754439,17/02/2018,30
2.4924925,1.7289247,17/02/2018,30
2.4944945,1.7842335,17/02/2018,30
2.4964965,1.8414479,17/02/2018,30
2.4984985,1.9006468,17/02/2018,30
2.5005005,1.9619109,17/02/2018,30
2.5025025,2.0253219,17/02/2018,30
2.5045045,2.0909631,17/02/2018,30
2.5065065,2.1589183,17/02/2018,30
2.5085085,2.2292723,17/02/2018,30
2.5105105,2.30211,17/02/2018,30
2.5125125,2.3775164,17/02/2018,30
2.5145145,2.455576,17/02/2018,30
2.5165165,2.5363722,17/02/2018,30
2.5185185,2.619987,17/02/2018,30
2.5205205,2.7064999,17/02/2018,30
2.5225225,2.7959877,17/02/2018,30
2.5245245,2.8885235,17/02/2018,30
2.5265265,2.9841759,17/02/2018,30
2.5285285,3.0830079,17/02/2018,30
2.5305305,3.1850766,17/02/2018,30
2.5325325,3.2904314,17/02/2018,30
2.5345345,3.399114,17/02/2018,30
2.5365365,3.5111564,17/02/2018,30
2.5385385,3.626581,17/02/2018,30
2.5405405,3.7453985,17/02/2018,30
2.5425425,3.8676082,17/02/2018,30
2.5445445,3.9931963,17/02/2018,30
2.5465465,4.1221353,17/02/2018,30
2.5485485,4.2543836,17/02/2018,30
2.5505506,4.3898845,17/02/2018,30
2.5525526,4.5285663,17/02/2018,30
