Median energy [keV],Density,RunPeriod,Interval
2.4484484,5.325849,30/10/2017,30
2.4504505,5.4400488,30/10/2017,30
2.4524525,5.5686426,30/10/2017,30
2.4544545,5.6908883,30/10/2017,30
2.4564565,5.8161324,30/10/2017,30
2.4584585,5.9456151,30/10/2017,30
2.4604605,6.0860391,30/10/2017,30
2.4624625,6.2243967,30/10/2017,30
2.4644645,6.3704078,30/10/2017,30
2.4664665,6.5156994,30/10/2017,30
2.4684685,6.6681329,30/10/2017,30
2.4704705,6.8199292,30/10/2017,30
2.4724725,6.9779657,30/10/2017,30
2.4744745,7.1401114,30/10/2017,30
2.4764765,7.3040442,30/10/2017,30
2.4784785,7.4716338,30/10/2017,30
2.4804805,7.6446284,30/10/2017,30
2.4824825,7.823019,30/10/2017,30
2.4844845,8.0057369,30/10/2017,30
2.4864865,8.1919456,30/10/2017,30
2.4884885,8.3850542,30/10/2017,30
2.4904905,8.5827832,30/10/2017,30
2.4924925,8.7829994,30/10/2017,30
2.4944945,8.990038,30/10/2017,30
2.4964965,9.1969362,30/10/2017,30
2.4984985,9.4116184,30/10/2017,30
2.5005005,9.6311041,30/10/2017,30
2.5025025,9.8565502,30/10/2017,30
2.5045045,10.081533,30/10/2017,30
2.5065065,10.316895,30/10/2017,30
2.5085085,10.555707,30/10/2017,30
2.5105105,10.79783,30/10/2017,30
2.5125125,11.042961,30/10/2017,30
2.5145145,11.297382,30/10/2017,30
2.5165165,11.558705,30/10/2017,30
2.5185185,11.818052,30/10/2017,30
2.5205205,12.085011,30/10/2017,30
2.5225225,12.350476,30/10/2017,30
2.5245245,12.621711,30/10/2017,30
2.5265265,12.897155,30/10/2017,30
2.5285285,13.171354,30/10/2017,30
2.5305305,13.455285,30/10/2017,30
2.5325325,13.742021,30/10/2017,30
2.5345345,14.028535,30/10/2017,30
2.5365365,14.320575,30/10/2017,30
2.5385385,14.613181,30/10/2017,30
2.5405405,14.902211,30/10/2017,30
2.5425425,15.191679,30/10/2017,30
2.5445445,15.479709,30/10/2017,30
2.5465465,15.769824,30/10/2017,30
2.5485485,16.06572,30/10/2017,30
2.5505506,16.35295,30/10/2017,30
2.5525526,16.641349,30/10/2017,30
2.5545546,16.929988,30/10/2017,30
2.5565566,17.211914,30/10/2017,30
2.5585586,17.494172,30/10/2017,30
2.5605606,17.774459,30/10/2017,30
2.5625626,18.060411,30/10/2017,30
2.5645646,18.341048,30/10/2017,30
2.5665666,18.613679,30/10/2017,30
2.5685686,18.891657,30/10/2017,30
2.5705706,19.158752,30/10/2017,30
2.5725726,19.427097,30/10/2017,30
2.5745746,19.698666,30/10/2017,30
2.5765766,19.962784,30/10/2017,30
2.5785786,20.228952,30/10/2017,30
2.5805806,20.493789,30/10/2017,30
2.5825826,20.75418,30/10/2017,30
2.5845846,21.019908,30/10/2017,30
2.5865866,21.28051,30/10/2017,30
2.5885886,21.544597,30/10/2017,30
2.5905906,21.809201,30/10/2017,30
2.5925926,22.073599,30/10/2017,30
2.5945946,22.333634,30/10/2017,30
2.5965966,22.595419,30/10/2017,30
2.5985986,22.86159,30/10/2017,30
2.6006006,23.132,30/10/2017,30
2.6026026,23.400562,30/10/2017,30
2.6046046,23.668173,30/10/2017,30
2.6066066,23.940739,30/10/2017,30
2.6086086,24.21637,30/10/2017,30
2.6106106,24.492782,30/10/2017,30
2.6126126,24.765741,30/10/2017,30
2.6146146,25.047043,30/10/2017,30
2.6166166,25.328686,30/10/2017,30
2.6186186,25.610714,30/10/2017,30
2.6206206,25.893484,30/10/2017,30
2.6226226,26.180483,30/10/2017,30
2.6246246,26.460533,30/10/2017,30
2.6266266,26.737234,30/10/2017,30
2.6286286,27.024027,30/10/2017,30
2.6306306,27.307428,30/10/2017,30
2.6326326,27.592446,30/10/2017,30
2.6346346,27.870988,30/10/2017,30
2.6366366,28.144761,30/10/2017,30
2.6386386,28.412338,30/10/2017,30
2.6406406,28.679482,30/10/2017,30
2.6426426,28.942806,30/10/2017,30
2.6446446,29.204098,30/10/2017,30
2.6466466,29.458105,30/10/2017,30
2.6486486,29.71074,30/10/2017,30
2.6506507,29.962022,30/10/2017,30
2.6526527,30.200721,30/10/2017,30
2.6546547,30.434698,30/10/2017,30
2.6566567,30.665021,30/10/2017,30
2.6586587,30.891965,30/10/2017,30
2.6606607,31.109481,30/10/2017,30
2.6626627,31.324907,30/10/2017,30
2.6646647,31.527097,30/10/2017,30
2.6666667,31.725126,30/10/2017,30
2.6686687,31.926694,30/10/2017,30
2.6706707,32.119484,30/10/2017,30
2.6726727,32.302596,30/10/2017,30
2.6746747,32.478252,30/10/2017,30
2.6766767,32.654002,30/10/2017,30
2.6786787,32.824186,30/10/2017,30
2.6806807,32.992997,30/10/2017,30
2.6826827,33.159014,30/10/2017,30
2.6846847,33.323862,30/10/2017,30
2.6866867,33.47924,30/10/2017,30
2.6886887,33.637726,30/10/2017,30
2.6906907,33.802776,30/10/2017,30
2.6926927,33.972211,30/10/2017,30
2.6946947,34.132243,30/10/2017,30
2.6966967,34.298014,30/10/2017,30
2.6986987,34.459691,30/10/2017,30
2.7007007,34.621541,30/10/2017,30
2.7027027,34.792218,30/10/2017,30
2.7047047,34.959123,30/10/2017,30
2.7067067,35.132805,30/10/2017,30
2.7087087,35.306439,30/10/2017,30
2.7107107,35.481444,30/10/2017,30
2.7127127,35.666806,30/10/2017,30
2.7147147,35.864444,30/10/2017,30
2.7167167,36.058288,30/10/2017,30
2.7187187,36.263877,30/10/2017,30
2.7207207,36.485332,30/10/2017,30
2.7227227,36.70055,30/10/2017,30
2.7247247,36.920787,30/10/2017,30
2.7267267,37.156531,30/10/2017,30
2.7287287,37.397102,30/10/2017,30
2.7307307,37.650842,30/10/2017,30
2.7327327,37.901037,30/10/2017,30
2.7347347,38.1592,30/10/2017,30
2.7367367,38.425648,30/10/2017,30
2.7387387,38.696402,30/10/2017,30
2.7407407,38.97077,30/10/2017,30
2.7427427,39.253382,30/10/2017,30
2.7447447,39.545937,30/10/2017,30
2.7467467,39.840672,30/10/2017,30
2.7487487,40.146881,30/10/2017,30
2.7507508,40.4547,30/10/2017,30
2.7527528,40.77411,30/10/2017,30
2.7547548,41.092027,30/10/2017,30
2.7567568,41.425933,30/10/2017,30
2.7587588,41.754821,30/10/2017,30
2.7607608,42.089116,30/10/2017,30
2.7627628,42.423062,30/10/2017,30
2.7647648,42.758999,30/10/2017,30
2.7667668,43.089945,30/10/2017,30
2.7687688,43.425907,30/10/2017,30
2.7707708,43.76078,30/10/2017,30
2.7727728,44.094675,30/10/2017,30
2.7747748,44.430993,30/10/2017,30
2.7767768,44.765832,30/10/2017,30
2.7787788,45.099407,30/10/2017,30
2.7807808,45.425138,30/10/2017,30
2.7827828,45.745136,30/10/2017,30
2.7847848,46.074326,30/10/2017,30
2.7867868,46.397403,30/10/2017,30
2.7887888,46.705673,30/10/2017,30
2.7907908,47.006055,30/10/2017,30
2.7927928,47.302071,30/10/2017,30
2.7947948,47.586597,30/10/2017,30
2.7967968,47.86507,30/10/2017,30
2.7987988,48.13341,30/10/2017,30
2.8008008,48.391967,30/10/2017,30
2.8028028,48.637782,30/10/2017,30
2.8048048,48.87656,30/10/2017,30
2.8068068,49.106886,30/10/2017,30
2.8088088,49.32619,30/10/2017,30
2.8108108,49.53523,30/10/2017,30
2.8128128,49.726373,30/10/2017,30
2.8148148,49.911484,30/10/2017,30
2.8168168,50.084766,30/10/2017,30
2.8188188,50.24428,30/10/2017,30
2.8208208,50.391065,30/10/2017,30
2.8228228,50.529003,30/10/2017,30
2.8248248,50.652143,30/10/2017,30
2.8268268,50.756114,30/10/2017,30
2.8288288,50.851776,30/10/2017,30
2.8308308,50.931907,30/10/2017,30
2.8328328,50.997243,30/10/2017,30
2.8348348,51.053338,30/10/2017,30
2.8368368,51.092224,30/10/2017,30
2.8388388,51.112524,30/10/2017,30
2.8408408,51.122782,30/10/2017,30
2.8428428,51.116804,30/10/2017,30
2.8448448,51.102204,30/10/2017,30
2.8468468,51.079492,30/10/2017,30
2.8488488,51.047538,30/10/2017,30
2.8508509,50.998732,30/10/2017,30
2.8528529,50.931954,30/10/2017,30
2.8548549,50.85783,30/10/2017,30
2.8568569,50.777641,30/10/2017,30
2.8588589,50.679277,30/10/2017,30
2.8608609,50.572297,30/10/2017,30
2.8628629,50.457754,30/10/2017,30
2.8648649,50.330759,30/10/2017,30
2.8668669,50.190594,30/10/2017,30
2.8688689,50.044594,30/10/2017,30
2.8708709,49.8903,30/10/2017,30
2.8728729,49.72742,30/10/2017,30
2.8748749,49.551781,30/10/2017,30
2.8768769,49.368272,30/10/2017,30
2.8788789,49.189039,30/10/2017,30
2.8808809,49.000804,30/10/2017,30
2.8828829,48.802244,30/10/2017,30
