fractionInTransverseRms,run
0.39053254,325
0.39361702,325
0.31176471,325
0.40437158,325
0.32919255,325
0.36538462,325
0.2748538,325
0.33507853,325
0.30526316,325
0.38190955,325
0.34444444,325
0.36871508,325
0.39247312,325
0.38461538,325
0.32065217,325
0.29447853,325
0.37804878,325
0.39189189,325
0.37647059,325
0.34636872,325
0.38624339,325
0.39487179,325
0.36516854,325
0.41040462,325
0.38823529,325
0.36597938,325
0.31746032,325
0.33526012,325
0.30864198,325
0.37378641,325
0.35714286,325
0.32394366,325
0.3718593,325
0.42857143,325
0.31137725,325
0.38918919,325
0.37096774,325
0.32735426,325
0.3626943,325
0.31073446,325
0.37125749,325
0.37442922,325
0.29378531,325
0.39170507,325
0.34659091,325
0.31736527,325
0.33526012,325
