kurtosisLongitudinal,run
0.52194893,335
-0.77318488,335
0.053730792,335
-0.81992241,335
-0.29403152,335
-0.43528071,335
-0.0030960591,335
-0.22193929,335
-0.71449933,335
0.85502717,335
-0.11752616,335
-0.2508135,335
0.38405392,335
0.1705557,335
-0.36651887,335
-0.71631022,335
0.35004072,335
0.39142704,335
-0.0535922,335
-0.72085378,335
-1.0916492,335
-0.69988401,335
-0.8367557,335
0.10847082,335
-0.092131307,335
-0.80242382,335
-1.2433392,335
-0.13672694,335
-0.5051004,335
-1.5231184,335
0.3944114,335
-0.15601357,335
-0.64262656,335
-1.078531,335
-1.013866,335
-0.51116757,335
-1.2121148,335
-0.067746809,335
-0.3920091,335
-1.1154047,335
-0.88364115,335
0.09540358,335
0.70591306,335
-1.0232177,335
-0.33679119,335
-0.89877871,335
-0.60684493,335
-0.66832555,335
0.19894492,335
-0.58015244,335
-0.87041277,335
-0.73142056,335
-0.65099743,335
-1.2324909,335
0.47588462,335
-0.89853214,335
-0.62367583,335
0.48514342,335
-0.85817563,335
-0.4604415,335
0.26235249,335
-1.1588879,335
-0.54983661,335
-0.82451823,335
-0.90444233,335
-0.0056597764,335
-1.1019871,335
-0.95079895,335
-0.42771984,335
-0.2678343,335
-0.3377098,335
-0.77337869,335
-0.81891751,335
-0.45242045,335
0.44004814,335
-0.12525881,335
-0.010365561,335
-0.14880127,335
0.50404149,335
-1.2859266,335
-1.3689219,335
-0.69942275,335
1.0236585,335
-0.5760663,335
-1.3252532,335
0.03827694,335
-0.85167547,335
0.39021439,335
0.17255149,335
-0.025905434,335
-1.105365,335
-0.3485814,335
-0.14127764,335
-0.76848027,335
-0.90269052,335
0.52504673,335
-1.0510294,335
-0.269688,335
1.2709885,335
-0.36883759,335
-0.60747668,335
-1.0052705,335
0.88074389,335
0.14594159,335
-0.81214341,335
-0.6574738,335
0.13798077,335
-0.023226016,335
-1.2892179,335
-0.42620457,335
-0.76398521,335
0.74819041,335
-0.83512012,335
-0.20216148,335
-0.13147176,335
-0.29880014,335
-0.0096064365,335
0.18897681,335
-0.92901311,335
0.91592609,335
-0.43916014,335
-0.95143733,335
0.18486619,335
-0.49257078,335
1.2405613,335
-0.21148261,335
-0.70540242,335
-0.55710008,335
-0.75998094,335
-1.0062597,335
1.0142413,335
-1.0824006,335
-0.87633853,335
-0.4311273,335
-0.14779211,335
-0.40929864,335
-0.050656793,335
-0.93053836,335
-0.59163916,335
-0.46007727,335
1.4471805,335
-0.71711505,335
0.017182676,335
0.10616562,335
-0.40497224,335
0.1946435,335
-0.13270453,335
0.52945232,335
-0.88700255,335
-0.49396631,335
-0.49096082,335
-0.6801782,335
-0.14748661,335
-1.2049687,335
0.16828277,335
-0.30160372,335
-0.41643969,335
-0.51801186,335
-0.845061,335
0.66243556,335
-0.063363758,335
0.11617613,335
-0.19602199,335
-1.1877368,335
-0.22130569,335
0.27164127,335
-0.9336489,335
-1.0407881,335
-0.84435433,335
-0.21918711,335
-0.79016136,335
-0.92342367,335
-1.0090529,335
-0.75497966,335
0.041847551,335
-0.82594965,335
-1.2003211,335
-0.94218825,335
-0.65906343,335
-0.47018443,335
1.6594329,335
-0.98880268,335
-1.0785222,335
0.070244665,335
-0.75696093,335
-0.70083237,335
0.13080884,335
0.060585965,335
-0.37284683,335
-0.24583299,335
0.30470276,335
-1.1534145,335
-0.31521907,335
0.32843105,335
-0.29585799,335
-0.17157607,335
-0.78383229,335
0.85757889,335
-0.51680519,335
-0.71503919,335
-0.6045742,335
0.72840318,335
-0.79602476,335
-0.57225721,335
-0.13133726,335
0.036471538,335
-1.14062,335
-0.35581146,335
-0.39797158,335
-0.5382122,335
-0.099859433,335
-0.36528624,335
-1.1315894,335
-0.54538154,335
-0.090081178,335
-0.27764833,335
-0.81084624,335
-0.38923768,335
0.063992405,335
-0.80562278,335
1.5594498,335
-0.78617458,335
0.42328638,335
-0.53862092,335
-0.183351,335
-0.82256094,335
0.082234315,335
0.48896611,335
2.7458974,335
3.3340673,335
-0.58004882,335
0.25896913,335
-0.47207921,335
-0.46166983,335
0.074678206,335
-0.34493703,335
-0.29925113,335
-0.34321063,335
-0.16582924,335
1.2453302,335
0.1387971,335
-0.61341888,335
-0.7112697,335
-1.0383897,335
0.51424385,335
-1.3043156,335
-0.2105442,335
-0.45541182,335
-0.43952055,335
0.7805646,335
-0.10956875,335
-0.58909039,335
-0.9042237,335
-0.53653657,335
-1.013594,335
0.097724059,335
-0.15497261,335
0.21187637,335
0.13227631,335
1.1497207,335
1.093771,335
0.0061873524,335
-0.41007515,335
-0.80263501,335
-0.86055351,335
0.27151087,335
0.085273694,335
-0.11800827,335
-0.076482211,335
0.065379486,335
-0.56619123,335
-0.63123101,335
0.36853287,335
-0.19703939,335
-0.82956421,335
-1.0967854,335
-0.23649337,335
-0.67739049,335
-0.36556452,335
-0.018295973,335
0.55110271,335
-0.57078841,335
-0.2867862,335
-0.7078605,335
0.44531726,335
-0.6547903,335
-0.37582408,335
-1.0084008,335
0.94214778,335
0.15467143,335
-0.51052373,335
-1.0442868,335
-0.74420183,335
0.22047424,335
0.0177696,335
-0.59759654,335
-0.6188176,335
-0.54637797,335
-0.84406407,335
0.81606557,335
-0.89572588,335
-0.81535037,335
0.086886666,335
-0.50187255,335
-0.024254887,335
-0.70120169,335
-0.63748857,335
-0.12627069,335
1.2690483,335
-1.0792078,335
-0.59663492,335
-0.88748714,335
-0.5573739,335
-1.026119,335
0.26365684,335
-0.88346569,335
-0.39924704,335
-1.1317618,335
-0.28607868,335
0.59908319,335
1.1368468,335
0.98374351,335
-0.15276054,335
1.5433393,335
-0.73801717,335
-0.86883461,335
-0.57518675,335
-0.96771392,335
0.22345086,335
-1.3399075,335
0.14872098,335
-0.85926815,335
-0.055168299,335
-0.64311486,335
-0.77298028,335
-0.14467064,335
-0.83887456,335
-1.1752309,335
-0.084991644,335
-0.3464148,335
-0.38168874,335
-0.48496613,335
0.09529397,335
-0.88218316,335
-0.79880719,335
-0.11220792,335
-0.89898866,335
-0.38124484,335
-0.51653369,335
-0.88233429,335
-0.48959377,335
-1.5049204,335
0.12060734,335
-0.2759397,335
-0.52680254,335
-0.97849804,335
-0.40931781,335
-0.74327896,335
0.23996371,335
-0.029184844,335
-0.095160187,335
-0.9895403,335
-0.10707814,335
-0.2971481,335
-0.81398914,335
0.14887143,335
-1.2829196,335
-0.94942588,335
-0.81567263,335
-0.47891178,335
-0.31950069,335
-0.44307949,335
-0.96837577,335
0.16632357,335
-0.94343387,335
-0.41448439,335
-0.95275044,335
-0.42500789,335
-0.24411948,335
-0.49201101,335
-0.63075265,335
-0.69719874,335
-1.0966665,335
-0.24188127,335
-0.22368577,335
-0.077189753,335
-1.5213641,335
-0.65472088,335
-0.033432992,335
-0.18785441,335
-0.58428177,335
-0.61824214,335
-1.0864575,335
-0.50294488,335
2.2295606,335
0.21626089,335
-0.010944078,335
0.13264129,335
-0.48759376,335
-1.2125727,335
-0.33086491,335
-0.28271549,335
-0.98259035,335
-0.48248789,335
-1.0288382,335
-0.7985013,335
-0.97381353,335
-0.92097545,335
-0.93328171,335
-0.66055369,335
-1.2865931,335
1.3554204,335
-0.6344539,335
-0.32407361,335
-0.66891508,335
0.23677933,335
-0.82232288,335
-0.32541995,335
0.15055404,335
0.17757471,335
-0.33259434,335
0.4943054,335
-0.25045017,335
-0.48504442,335
-1.1074369,335
-1.0585269,335
-0.38928397,335
-0.57075631,335
0.77279165,335
-0.77995607,335
0.33237093,335
1.9525733,335
-0.81366569,335
-0.27803128,335
-0.097246311,335
0.42590793,335
1.6176121,335
-0.10598872,335
-0.92098545,335
-0.43044066,335
-0.70918154,335
-1.1808115,335
-0.25033906,335
-0.33539548,335
-0.5076784,335
-0.69122761,335
-1.0818944,335
-0.23761132,335
-0.11876109,335
2.0815157,335
-0.96843805,335
-1.321125,335
-0.71251124,335
-1.0012453,335
0.0060214754,335
0.25714618,335
0.38532427,335
-0.47655068,335
-0.68702685,335
4.0578971,335
0.99652714,335
-0.81582952,335
-0.42246448,335
-1.1847106,335
-0.59693628,335
-0.7868969,335
-1.1711525,335
0.69806738,335
-0.096752713,335
-0.91054378,335
-0.33867487,335
-0.26058755,335
-0.88040307,335
-0.22167045,335
-0.74139287,335
