hits,run
39,333
58,333
60,333
50,333
47,333
47,333
56,333
66,333
66,333
59,333
53,333
48,333
53,333
31,333
39,333
55,333
59,333
64,333
100,333
43,333
60,333
44,333
49,333
49,333
46,333
59,333
116,333
33,333
61,333
53,333
50,333
53,333
57,333
195,333
45,333
68,333
61,333
61,333
62,333
49,333
53,333
49,333
43,333
41,333
133,333
91,333
48,333
56,333
185,333
63,333
69,333
54,333
65,333
51,333
62,333
45,333
43,333
55,333
52,333
56,333
50,333
48,333
42,333
85,333
55,333
58,333
45,333
42,333
52,333
105,333
51,333
57,333
53,333
55,333
54,333
51,333
62,333
58,333
59,333
119,333
60,333
53,333
40,333
56,333
60,333
76,333
61,333
50,333
52,333
107,333
46,333
57,333
76,333
58,333
52,333
56,333
62,333
37,333
85,333
107,333
52,333
56,333
106,333
53,333
52,333
47,333
103,333
57,333
114,333
52,333
60,333
45,333
53,333
55,333
53,333
66,333
66,333
62,333
58,333
52,333
110,333
46,333
53,333
60,333
104,333
9,333
131,333
52,333
68,333
50,333
47,333
56,333
127,333
59,333
55,333
59,333
65,333
55,333
104,333
48,333
52,333
38,333
101,333
105,333
44,333
50,333
58,333
49,333
117,333
69,333
115,333
54,333
88,333
52,333
52,333
64,333
45,333
47,333
61,333
41,333
34,333
62,333
52,333
61,333
45,333
114,333
44,333
157,333
57,333
64,333
65,333
54,333
46,333
53,333
60,333
67,333
112,333
137,333
33,333
112,333
57,333
58,333
62,333
47,333
60,333
65,333
23,333
50,333
83,333
67,333
50,333
60,333
60,333
79,333
52,333
160,333
140,333
56,333
65,333
62,333
89,333
133,333
62,333
62,333
109,333
115,333
54,333
66,333
43,333
58,333
54,333
55,333
52,333
62,333
24,333
58,333
105,333
57,333
30,333
54,333
49,333
59,333
42,333
56,333
62,333
55,333
117,333
48,333
56,333
54,333
53,333
46,333
72,333
55,333
56,333
53,333
63,333
61,333
64,333
57,333
73,333
60,333
64,333
58,333
94,333
51,333
256,333
34,333
84,333
67,333
46,333
58,333
67,333
41,333
67,333
48,333
66,333
51,333
54,333
70,333
53,333
45,333
62,333
51,333
63,333
195,333
61,333
41,333
54,333
78,333
54,333
72,333
58,333
91,333
50,333
72,333
113,333
63,333
101,333
55,333
55,333
66,333
58,333
47,333
62,333
64,333
57,333
72,333
57,333
59,333
39,333
69,333
57,333
128,333
63,333
63,333
39,333
53,333
60,333
34,333
51,333
58,333
58,333
61,333
60,333
58,333
59,333
66,333
70,333
49,333
56,333
63,333
110,333
42,333
120,333
60,333
55,333
164,333
56,333
66,333
52,333
107,333
33,333
36,333
169,333
52,333
42,333
52,333
63,333
48,333
39,333
64,333
63,333
64,333
117,333
48,333
44,333
56,333
41,333
51,333
112,333
58,333
56,333
104,333
46,333
40,333
57,333
45,333
64,333
96,333
56,333
62,333
63,333
60,333
62,333
49,333
59,333
54,333
42,333
66,333
58,333
53,333
110,333
58,333
92,333
55,333
49,333
52,333
46,333
71,333
119,333
78,333
66,333
54,333
52,333
56,333
56,333
48,333
59,333
