fractionInTransverseRms,run
0.32208589,319
0.33227848,319
0.3815261,319
0.36563877,319
0.36050157,319
0.31418919,319
0.31740614,319
0.34662577,319
0.33333333,319
0.28,319
0.33,319
0.33590734,319
0.36538462,319
0.39274924,319
0.40062112,319
0.3079096,319
0.36119403,319
0.36507937,319
0.26888218,319
0.35777126,319
0.39009288,319
0.375,319
0.32492114,319
0.36144578,319
0.32871972,319
0.37596899,319
0.3054755,319
0.3375,319
0.40390879,319
0.34615385,319
0.39181287,319
0.3485342,319
0.3742515,319
0.35622318,319
0.29885057,319
0.3447205,319
0.33810888,319
0.32462687,319
0.36936937,319
0.33085502,319
0.34939759,319
0.34042553,319
0.39111111,319
0.36134454,319
0.33939394,319
0.33876221,319
0.33012821,319
