fractionInTransverseRms,run
0.3515625,328
0.24509804,328
0.4,328
0.2987013,328
0.25547445,328
0.33846154,328
0.29565217,328
0.33636364,328
0.41269841,328
0.35652174,328
0.40875912,328
0.33093525,328
0.29310345,328
0.37795276,328
0.17647059,328
0.48854962,328
0.37735849,328
0.2992126,328
0.35877863,328
0.38709677,328
0.3697479,328
0.3697479,328
0.33628319,328
0.32824427,328
0.32954545,328
0.33082707,328
0.31746032,328
0.38709677,328
0.32575758,328
0.27906977,328
0.39823009,328
0.392,328
0.304,328
0.31674208,328
0.28181818,328
0.35245902,328
0.37804878,328
0.29770992,328
0.27619048,328
0.37209302,328
0.40869565,328
