fractionInTransverseRms,run
0.33023256,315
0.30373832,315
0.36199095,315
0.3697479,315
0.34334764,315
0.375,315
0.35059761,315
0.33064516,315
0.37848606,315
0.29126214,315
0.33783784,315
0.35983264,315
0.35897436,315
0.34893617,315
0.38372093,315
0.34782609,315
0.31623932,315
0.38408304,315
0.37102473,315
0.39449541,315
0.37019231,315
0.38983051,315
0.34358974,315
0.37795276,315
0.3,315
0.37815126,315
0.37019231,315
0.34782609,315
0.34920635,315
0.35483871,315
0.34532374,315
0.28735632,315
0.29437229,315
0.37668161,315
0.30803571,315
0.33663366,315
0.43333333,315
0.38148148,315
0.25409836,315
0.38961039,315
0.3776824,315
0.38333333,315
0.36448598,315
0.35775862,315
0.4076087,315
0.3872549,315
0.34529148,315
0.36633663,315
0.39183673,315
0.32669323,315
0.36521739,315
0.32044199,315
0.35242291,315
0.3509434,315
0.37944664,315
0.30769231,315
0.35326087,315
0.36283186,315
0.32520325,315
0.36078431,315
0.38325991,315
0.34183673,315
0.38862559,315
0.36734694,315
0.34343434,315
0.41071429,315
0.31219512,315
0.38164251,315
0.35365854,315
0.30252101,315
0.43093923,315
0.325,315
0.33898305,315
0.37307692,315
0.39413681,315
0.39908257,315
0.34693878,315
0.33628319,315
0.33196721,315
0.33189655,315
0.32244898,315
0.36320755,315
0.28110599,315
0.34954407,315
0.3027027,315
0.31034483,315
0.36267606,315
0.38277512,315
0.40167364,315
0.38785047,315
0.36842105,315
0.25581395,315
0.35433071,315
0.30072464,315
0.34954407,315
0.36842105,315
0.29147982,315
0.32992327,315
0.35,315
0.40449438,315
0.35021097,315
0.35238095,315
0.3632287,315
0.34031414,315
0.38222222,315
0.29447853,315
0.33684211,315
0.40191388,315
