Type,charge / e-,counts,FitRange
Fit,8608.0386,15.009658,true
Fit,8643.2567,14.509305,true
Fit,8678.4749,14.025073,true
Fit,8713.6931,13.556466,true
Fit,8748.9112,13.103002,true
Fit,8784.1294,12.664213,true
Fit,8819.3476,12.239647,true
Fit,8854.5657,11.828861,true
Fit,8889.7839,11.431428,true
Fit,8925.0021,11.046932,true
Fit,8960.2202,10.674969,true
Fit,8995.4384,10.315148,true
Fit,9030.6566,9.9670891,true
Fit,9065.8747,9.6304229,true
Fit,9101.0929,9.3047914,true
Fit,9136.3111,8.9898474,true
Fit,9171.5292,8.6852536,true
Fit,9206.7474,8.390683,true
Fit,9241.9656,8.1058185,true
Fit,9277.1837,7.8303522,true
Fit,9312.4019,7.5639856,true
Fit,9347.6201,7.3064292,true
Fit,9382.8383,7.0574022,true
Fit,9418.0564,6.8166324,true
Fit,9453.2746,6.5838556,true
Fit,9488.4928,6.358816,true
Fit,9523.7109,6.1412652,true
Fit,9558.9291,5.9309627,true
Fit,9594.1473,5.7276752,true
Fit,9629.3654,5.5311765,true
Fit,9664.5836,5.3412477,true
Fit,9699.8018,5.1576762,true
Fit,9735.0199,4.9802562,true
Fit,9770.2381,4.8087882,true
Fit,9805.4563,4.643079,true
Fit,9840.6744,4.4829413,true
Fit,9875.8926,4.3281935,true
Fit,9911.1108,4.17866,true
Fit,9946.3289,4.0341704,true
Fit,9981.5471,3.8945597,true
Fit,10016.765,3.7596682,true
Fit,10051.983,3.6293411,true
Fit,10087.202,3.5034285,true
Fit,10122.42,3.3817853,true
Fit,10157.638,3.2642707,true
Fit,10192.856,3.1507488,true
Fit,10228.074,3.0410877,true
Fit,10263.292,2.9351598,true
Fit,10298.511,2.8328416,true
Fit,10333.729,2.7340134,true
Fit,10368.947,2.6385593,true
Fit,10404.165,2.5463674,true
Fit,10439.383,2.4573291,true
Fit,10474.601,2.3713395,true
Fit,10509.82,2.2882967,true
Fit,10545.038,2.2081026,true
Fit,10580.256,2.1306618,true
Fit,10615.474,2.0558823,true
Fit,10650.692,1.9836749,true
Fit,10685.91,1.9139534,true
Fit,10721.129,1.8466343,true
Fit,10756.347,1.7816368,true
Fit,10791.565,1.7188829,true
Fit,10826.783,1.6582969,true
Fit,10862.001,1.5998058,true
Fit,10897.219,1.5433388,true
Fit,10932.438,1.4888276,true
Fit,10967.656,1.4362059,true
Fit,11002.874,1.3854098,true
Fit,11038.092,1.3363775,true
Fit,11073.31,1.289049,true
Fit,11108.528,1.2433664,true
Fit,11143.747,1.1992739,true
