Type,charge / e-,counts,FitRange,prevVals_GGPLOTNIM_INTERNAL
Fit,8704.1934,36.191292,true,0
Fit,8735.121,35.306553,true,0
Fit,8766.0486,34.442424,true,0
Fit,8796.9763,33.598456,true,0
Fit,8827.9039,32.774211,true,0
Fit,8858.8316,31.969261,true,0
Fit,8889.7592,31.183182,true,0
Fit,8920.6869,30.415563,true,0
Fit,8951.6145,29.665997,true,0
Fit,8982.5422,28.934088,true,0
Fit,9013.4698,28.219446,true,0
Fit,9044.3975,27.52169,true,0
Fit,9075.3251,26.840445,true,0
Fit,9106.2527,26.175345,true,0
Fit,9137.1804,25.52603,true,0
Fit,9168.108,24.892149,true,0
Fit,9199.0357,24.273356,true,0
Fit,9229.9633,23.669314,true,0
Fit,9260.891,23.079692,true,0
Fit,9291.8186,22.504164,true,0
Fit,9322.7463,21.942415,true,0
Fit,9353.6739,21.394131,true,0
Fit,9384.6015,20.859009,true,0
Fit,9415.5292,20.33675,true,0
Fit,9446.4568,19.827061,true,0
Fit,9477.3845,19.329658,true,0
Fit,9508.3121,18.844258,true,0
Fit,9539.2398,18.370589,true,0
Fit,9570.1674,17.908382,true,0
Fit,9601.0951,17.457372,true,0
Fit,9632.0227,17.017305,true,0
Fit,9662.9503,16.587926,true,0
Fit,9693.878,16.16899,true,0
Fit,9724.8056,15.760256,true,0
Fit,9755.7333,15.361487,true,0
Fit,9786.6609,14.972452,true,0
Fit,9817.5886,14.592926,true,0
Fit,9848.5162,14.222686,true,0
Fit,9879.4439,13.861517,true,0
Fit,9910.3715,13.509207,true,0
Fit,9941.2992,13.165549,true,0
Fit,9972.2268,12.830339,true,0
Fit,10003.154,12.50338,true,0
Fit,10034.082,12.184478,true,0
Fit,10065.01,11.873443,true,0
Fit,10095.937,11.57009,true,0
Fit,10126.865,11.274238,true,0
Fit,10157.793,10.985708,true,0
Fit,10188.72,10.704328,true,0
Fit,10219.648,10.429928,true,0
Fit,10250.576,10.162343,true,0
Fit,10281.503,9.9014093,true,0
Fit,10312.431,9.6469695,true,0
Fit,10343.359,9.3988684,true,0
Fit,10374.286,9.1569547,true,0
Fit,10405.214,8.9210802,true,0
Fit,10436.141,8.6911002,true,0
Fit,10467.069,8.4668734,true,0
Fit,10497.997,8.2482614,true,0
Fit,10528.924,8.0351291,true,0
Fit,10559.852,7.8273446,true,0
Fit,10590.78,7.6247788,true,0
Fit,10621.707,7.4273057,true,0
Fit,10652.635,7.234802,true,0
Fit,10683.563,7.0471474,true,0
Fit,10714.49,6.8642242,true,0
Fit,10745.418,6.6859176,true,0
Fit,10776.346,6.5121153,true,0
Fit,10807.273,6.3427077,true,0
