fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07752,4.274,5.129,1509735157,3.065,1.825,1.165,6.809,15.97,1.391,1.402,55.34,1.835,4.66,1.427,0.0931,17.55,4.856,3.802,0.004928,4.92,background,30/10/2017
0.07273,4.196,6.111,1509741088,2.727,2.224,0.9512,15.17,15.79,7.901,92.51,102.4,2.072,4.981,0.2836,0.0967,18.85,5.391,3.583,0.006023,9.164,background,30/10/2017
0.06849,4.484,29.1,1509746507,2.897,4.197,1.927,5.667,16.59,2.061,5.398,102.8,3.714,5.062,4.946,0.08667,18.98,22.77,3.512,0.006087,8.932,background,30/10/2017
0.06818,4.244,2.653,1509751953,2.806,1.464,1.749,6.875,16.15,2.445,6.678,74.88,1.506,4.966,3.229,0.08823,18.47,2.979,3.478,0.006845,6.59,background,30/10/2017
0.07283,4.438,5.98,1509757395,2.761,2.022,1.191,4.784,16.38,2.448,8.296,82.57,1.912,5.011,1.284,0.09109,18.67,5.346,3.316,0.00559,7.403,background,30/10/2017
0.07547,4.143,3.973,1509762830,2.803,1.794,1.325,6.246,15.34,1.853,4.235,78.52,2.009,4.785,1.998,0.09327,17.99,5.209,3.591,0.006377,6.082,background,30/10/2017
0.07378,4.352,9.594,1509768257,2.971,2.463,1.464,4.995,16.31,1.765,3.811,103.7,2.17,5.221,2.505,0.08845,19.15,6.529,3.485,0.005327,9.433,background,30/10/2017
0.07273,4.16,10.57,1509773621,2.833,2.481,1.451,4.683,15.85,1.733,3.357,87.81,2.223,5.006,2.741,0.09255,18.5,7.953,3.388,0.00628,8.465,background,30/10/2017
0.06961,4.51,3.783,1509779064,2.877,1.762,1.704,5.438,16.38,2.576,11.43,58.14,1.581,5.048,4.049,0.08233,18.63,2.884,3.461,0.004845,5.467,background,30/10/2017
0.05946,4.78,3.329,1509784453,2.69,1.511,1.236,4.292,17.28,1.854,3.969,75.45,1.526,5.347,1.648,0.07297,19.64,3.374,3.331,0.003846,6.629,background,30/10/2017
0.07018,4.345,1.362,1509789918,2.761,1.275,1.236,5.195,17.11,2.3,6.726,75.89,1.383,5.11,1.795,0.08772,19.45,1.909,3.431,0.005161,5.962,background,30/10/2017
0.07263,4.374,16.68,1509795360,2.872,3.215,1.05,4.06,16.1,2.175,7.06,114.6,3.383,5.171,0.8659,0.09027,19.25,18.7,3.349,0.005206,9.837,background,30/10/2017
0.06961,4.218,5.569,1509800769,2.714,2.067,1.168,5.995,16.25,2.081,5.235,107,2.288,5.06,1.026,0.08938,19.44,6.653,3.532,0.005697,7.981,background,30/10/2017
0.06422,4.266,2.776,1509806167,2.731,1.543,1.49,6.033,16.07,2.141,5.286,96.33,1.904,5.086,2.537,0.08343,19.06,5.395,3.452,0.005926,7.916,background,30/10/2017
0.07207,4.488,6.451,1509811568,2.913,2.113,1.378,6.218,16.76,2.622,9.775,97.54,2.708,5.152,1.827,0.09018,19.45,11.71,3.547,0.005863,7.44,background,30/10/2017
0.06977,4.435,15.18,1509817002,2.693,2.925,1.533,5.742,16.88,1.865,3.319,79.12,2.279,5.043,3.307,0.08626,18.97,8.503,3.453,0.005133,6.972,background,30/10/2017
0.075,4.2,13.21,1509822406,2.702,2.802,1.509,6.578,16.35,2.053,5.12,103.9,3.036,4.974,3.039,0.09537,18.92,15.89,3.482,0.006478,8.488,background,30/10/2017
0.06731,4.592,3.314,1509827820,2.81,1.434,1.317,6.028,17.04,2.172,6.056,54.99,1.328,4.979,1.568,0.08451,18.69,2.233,3.579,0.005177,4.512,background,30/10/2017
0.06404,4.584,3.315,1509833727,2.627,1.659,1.298,5.904,16.94,2.088,5.605,93.1,2.031,5.352,1.817,0.08156,19.89,6.589,3.34,0.005116,7.603,background,30/10/2017
0.06803,4.406,4.222,1509839674,2.738,1.786,1.363,5.185,16.38,1.957,4.608,92.25,2.224,5.059,2.383,0.08707,18.89,7.279,3.36,0.005583,7.06,background,30/10/2017
0.06977,4.6,6.833,1509845040,2.799,2.099,1.039,4.543,17.02,2.567,9.651,78.84,2.009,5.201,1.134,0.07916,19.48,5.81,3.313,0.003968,6.746,background,30/10/2017
0.06971,4.344,8.514,1509850440,2.743,2.251,1.447,4.979,16.32,1.951,4.615,84.03,2.37,5.096,2.527,0.08992,18.92,9.746,3.393,0.00553,7.454,background,30/10/2017
0.06383,4.497,13.9,1509855898,2.753,2.769,1.507,5.005,17.54,2.166,7.068,129.2,3.521,5.457,2.992,0.08497,20.18,22.67,3.227,0.006162,10.51,background,30/10/2017
0.07186,4.741,4.988,1509861331,2.728,1.987,1.366,4.311,17.66,1.917,5.127,81.9,1.839,5.287,2.134,0.08762,19.53,4.618,3.364,0.005568,8.106,background,30/10/2017
0.06757,4.372,3.295,1509866746,2.921,1.675,1.343,6.07,16.41,2.071,5.322,78.62,1.846,4.979,1.82,0.08504,18.55,4.409,3.582,0.005369,6.431,background,30/10/2017
0.05882,4.662,13.95,1509872196,2.776,3.033,1.595,5.355,17.44,2.036,5.081,83.03,2.776,5.219,3.396,0.07742,19.37,12.81,3.423,0.0046,7.478,background,30/10/2017
0.07107,4.455,5.976,1509877590,2.777,1.896,1.235,4.214,17.15,2.259,7.183,71.83,1.586,5.07,1.526,0.08997,19.02,3.945,3.299,0.005924,6.639,background,30/10/2017
0.06977,4.582,23.73,1509883020,2.666,3.797,1.536,4.517,16.95,1.761,3.759,125,3.877,5.222,3.273,0.08885,19.4,25.33,3.24,0.005933,10.77,background,30/10/2017
0.06531,4.467,4.839,1509888425,2.888,1.905,1.42,5.67,16.49,2.414,8.422,62.16,1.693,4.984,2.25,0.08362,18.6,3.759,3.459,0.004958,5.895,background,30/10/2017
0.07,4.266,9.001,1509893816,2.768,2.432,1.703,7.148,16.59,2.064,4.584,94.54,2.691,5.025,3.554,0.09107,18.71,11.74,3.629,0.006779,8.708,background,30/10/2017
0.05795,4.45,9.412,1509899223,2.744,2.502,1.504,6.384,17.16,1.898,3.765,89.57,2.32,5.175,2.101,0.08265,19.18,7.874,3.507,0.005748,8.767,background,30/10/2017
0.06443,4.508,12.06,1509904670,2.807,2.635,1.421,4.604,17.26,1.787,4.612,109.9,2.472,5.425,2.112,0.08137,20.21,9.226,3.327,0.005028,9.835,background,30/10/2017
0.06964,4.418,2.146,1509910029,2.677,1.378,0.9784,6.087,16.59,2.196,5.975,65.06,1.361,5.028,0.6386,0.08731,18.72,2.307,3.384,0.00466,5.794,background,30/10/2017
0.07059,4.332,8.682,1509915517,2.623,2.46,1.433,5.995,16.51,3.219,15.36,92.17,2.607,5.004,2.895,0.08841,18.62,9.486,3.252,0.005632,7.421,background,30/10/2017
0.06502,4.358,1.469,1509920229,2.726,0.9867,1.246,5.65,16.36,1.832,4.073,57.95,1.135,4.778,1.064,0.09133,17.88,1.941,3.569,0.006846,4.721,background,30/10/2017
0.06897,4.565,5.144,1509925144,2.74,1.835,1.282,6.62,17.11,1.97,4.335,80.23,1.712,5.134,1.36,0.0879,19.06,4.241,3.515,0.005818,7.219,background,30/10/2017
0.07143,4.459,3.029,1509930541,3.063,1.444,1.033,6.462,16.58,1.846,3.501,56.82,1.279,4.898,0.8718,0.09203,18.3,1.709,3.772,0.004937,5.093,background,30/10/2017
0.07568,4.302,23.93,1509935935,3.033,3.521,1.097,5.691,16.25,1.656,3.533,91.69,3.456,4.959,0.9169,0.09289,18.53,23.56,3.682,0.005451,8.326,background,30/10/2017
0.0684,4.47,15.02,1509941351,2.642,3.144,1.171,3.533,16.24,1.647,3.665,113.3,3.279,5.193,1.388,0.08275,19.01,16.18,3.167,0.004102,9.895,background,30/10/2017
0.07527,4.244,22.26,1509946775,2.697,3.667,1.533,6.237,16.43,2.004,4.678,130.2,3.806,5.056,3.01,0.09533,18.95,22.64,3.528,0.006907,11.03,background,30/10/2017
0.06314,4.548,6.182,1509952185,2.948,1.952,1.992,5.816,16.79,2.33,7.118,70.17,1.697,5.142,5.796,0.08441,19.28,3.692,3.619,0.00613,6.196,background,30/10/2017
0.06897,4.225,12.06,1509957598,2.851,2.744,1.476,5.601,16.31,2.107,5.604,113.7,3.143,5.154,2.219,0.09139,19.25,15.18,3.521,0.006626,9.378,background,30/10/2017
0.06843,4.312,15.12,1509963015,2.944,3.038,1.447,6.763,16.12,2.362,6.345,98.18,2.796,5.082,2.213,0.08484,18.96,11.99,3.635,0.005173,8.62,background,30/10/2017
0.08,4.245,6.325,1509968433,2.99,2.154,1.57,6.355,15.9,1.975,4.602,76.47,2.147,4.875,3.136,0.09741,18.46,6.526,3.772,0.005961,6.528,background,30/10/2017
0.07273,4.189,6.934,1509973859,2.74,2.124,1.318,5.438,15.8,3.518,20.87,73.4,1.732,4.871,1.779,0.08836,17.94,3.727,3.295,0.005456,6.881,background,30/10/2017
0.0663,4.258,12.36,1509979301,3.006,2.795,1.38,4.933,16.33,1.817,5.13,97.5,2.127,5.089,2.222,0.08845,18.98,6.826,3.48,0.00583,9.543,background,30/10/2017
0.07513,4.347,3.949,1509984720,2.889,1.556,1.237,4.468,15.96,1.469,2.422,65.46,1.435,4.829,1.413,0.09313,18.09,2.762,3.416,0.005653,5.632,background,30/10/2017
0.0597,4.393,47.01,1509990125,2.899,5.422,1.615,4.881,16.22,1.532,2.516,136.4,3.915,5.144,3.285,0.08009,18.93,23.04,3.548,0.004809,13.07,background,30/10/2017
0.08174,4.172,17.98,1509995584,2.997,3.351,1.409,6.182,16.41,1.77,3.413,131.7,4.192,4.921,2.207,0.1047,18.88,28.95,3.653,0.00771,9.663,background,30/10/2017
0.06857,4.425,3.424,1510001005,2.8,1.583,1.495,7.71,16.42,2.041,4.358,64.42,1.672,4.957,2.784,0.08871,18.7,4.396,3.665,0.005326,5.554,background,30/10/2017
0.075,4.294,11.47,1510006467,2.881,2.579,1.32,5.007,16.67,1.832,4.463,65.52,2.679,4.818,1.971,0.09208,18.22,12.64,3.605,0.005633,6.054,background,30/10/2017
0.08553,4.182,8.896,1510011952,3.135,2.46,1.075,5.584,16.12,1.93,4.531,79.37,2.12,4.791,0.7647,0.09972,18.04,6.21,3.678,0.005995,7.265,background,30/10/2017
0.07143,4.322,7.171,1510017350,2.848,2.292,1.328,5.192,16.08,2.21,7.199,98.56,2.589,5.014,1.636,0.08879,18.49,9.971,3.48,0.005519,8.718,background,30/10/2017
0.06817,4.293,7.855,1510022773,2.812,2.299,1.427,6.454,15.88,2.133,5.258,76.43,2.565,4.764,2.601,0.08677,17.92,10.18,3.625,0.005645,5.94,background,30/10/2017
0.06782,4.365,10.02,1510028192,2.982,2.528,1.681,6.35,16.36,2.17,5.866,97.19,2.631,4.945,3.094,0.09228,18.53,10.41,3.616,0.00741,7.996,background,30/10/2017
0.07143,4.362,41.05,1510033605,2.681,5.113,1.305,6.398,16.31,2.237,6.077,96.77,4.367,5.018,1.437,0.08832,18.6,31.51,3.46,0.005641,9.655,background,30/10/2017
0.06811,4.235,8.335,1510039018,2.925,2.329,1.234,5.122,16.01,2.065,5.452,87.88,2.035,5.06,1.527,0.08818,18.71,6.272,3.513,0.005158,8.478,background,30/10/2017
0.07874,4.044,8.347,1510044438,2.861,2.344,1.106,5.44,15.74,1.948,4.865,74.27,3.017,4.795,1.121,0.09485,17.88,15.88,3.56,0.006002,6.797,background,30/10/2017
0.06575,4.43,3.6,1510049847,2.811,1.641,1.654,5.002,16.12,1.855,4.033,59.9,1.554,4.958,3.575,0.08584,18.29,2.994,3.449,0.005532,5.633,background,30/10/2017
0.07938,4.134,6.087,1510055261,2.835,2.126,1.233,6.264,15.73,1.897,3.966,87.29,1.832,4.927,1.591,0.1001,18.43,4.013,3.546,0.006758,8.303,background,30/10/2017
0.07429,4.181,2.509,1510060673,2.963,1.485,1.31,4.816,16.05,1.791,4.348,61.52,1.619,4.816,1.6,0.09382,18.21,3.5,3.429,0.006421,5.415,background,30/10/2017
0.08225,4.173,4.972,1510066114,2.837,1.831,1.195,5.961,16.52,1.989,4.629,64.32,1.822,4.756,1.568,0.09388,18.22,4.656,3.626,0.00526,5.359,background,30/10/2017
0.08054,4.027,4.637,1510071569,2.846,1.827,1.335,7.846,15.62,2.341,6.875,64.37,1.8,4.67,2.092,0.09474,17.75,4.195,3.648,0.005567,5.319,background,30/10/2017
0.07857,4.434,5.487,1510076998,2.78,2.042,1.362,5.064,16.34,1.95,5.322,94.89,1.993,5.111,1.773,0.096,19.18,4.766,3.437,0.006931,8.378,background,30/10/2017
0.074,4.331,20.27,1510082439,2.587,3.235,1.266,6.749,16.23,2.232,5.388,94.86,3.745,4.849,2.147,0.09248,18.31,27.56,3.395,0.005583,7.385,background,30/10/2017
0.08023,4.101,9.069,1510087882,2.736,2.425,1.362,6.288,15.8,2.189,5.969,67.68,2.46,4.582,1.928,0.09961,17.41,10.01,3.464,0.006142,5.727,background,30/10/2017
0.0708,4.364,4.921,1510093310,2.75,1.912,1.134,6.33,16.62,1.944,4.066,81.38,2.066,5.061,1.001,0.08879,19.07,6.589,3.612,0.005507,6.713,background,30/10/2017
0.07143,4.371,5.049,1510098710,2.785,1.936,1.389,5.753,15.9,2.495,8.41,76.72,1.899,4.947,2.024,0.09218,18.49,4.839,3.364,0.006112,6.857,background,30/10/2017
0.07376,4.127,2.985,1510104116,2.732,1.557,1.465,5.465,15.21,2.155,5.915,65.65,1.544,4.668,2.619,0.09237,17.51,2.709,3.407,0.005691,5.393,background,30/10/2017
0.07166,4.247,9.627,1510109531,2.896,2.246,1.552,7.593,15.99,1.815,3.101,68.04,2.081,4.862,3.228,0.09251,18.05,7.942,3.856,0.006671,6.442,background,30/10/2017
0.07828,4.281,16.24,1510114954,2.837,2.924,1.161,5.931,16.19,2.82,11.73,82.15,2.23,4.933,1.388,0.09163,18.49,9.584,3.407,0.005205,7.78,background,30/10/2017
