fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07143,4.206,11.69,1509582865,2.649,2.687,1.378,4.728,15.79,1.591,2.466,78.82,2.235,4.799,1.832,0.09398,18.05,8.422,3.267,0.006763,7.261,background,30/10/2017
0.06667,4.454,7.527,1509588278,2.583,2.161,1.852,4.628,17.15,2.158,5.999,66.31,2.741,5.004,5.267,0.08318,18.68,14.43,3.167,0.005425,5.6,background,30/10/2017
0.06504,4.388,4.787,1509593822,2.744,1.774,1.308,6.418,16.44,2.259,6.817,58.67,1.579,4.923,1.411,0.08621,18.22,3.636,3.515,0.005649,5.756,background,30/10/2017
0.06667,4.274,16.95,1509599385,2.81,3.133,1.348,5.759,16.43,2.06,5.16,92.05,3.369,4.97,1.77,0.08713,18.91,20.47,3.453,0.005553,7.398,background,30/10/2017
0.0601,4.36,6.626,1509604787,2.865,2.121,1.998,6.049,16.05,2.519,10.21,70.94,1.669,4.976,6.501,0.08568,18.34,3.705,3.53,0.006511,7.381,background,30/10/2017
0.08621,4.305,14.16,1509610170,3.079,2.797,1.14,6.134,16.05,1.985,4.622,62.36,3.006,4.687,1.69,0.09158,17.61,17.85,3.732,0.00498,5.665,background,30/10/2017
0.06977,4.095,28.63,1509615572,3.075,3.825,1.309,5.377,15.68,1.87,4.165,81.77,3.639,4.752,1.603,0.08966,17.7,24.75,3.657,0.005349,7.327,background,30/10/2017
0.06849,4.474,8.743,1509620969,2.921,2.336,1.709,4.797,16.02,2.088,6.196,66.86,2.446,4.823,4.649,0.08709,17.98,8.772,3.492,0.005537,5.724,background,30/10/2017
0.07186,4.199,9.914,1509626410,2.744,2.512,1.078,5.815,16,1.78,3.272,90.85,3.016,4.993,0.7913,0.08873,18.38,15.68,3.491,0.005163,8.118,background,30/10/2017
0.0692,4.315,7.422,1509631840,2.972,2.144,1.358,4.141,16.09,1.85,5.08,70.38,1.822,4.939,2.037,0.08477,18.31,4.129,3.491,0.004882,6.313,background,30/10/2017
0.07171,4.168,3.226,1509637280,2.829,1.593,1.651,7.364,15.92,2.161,5.366,66.69,1.486,4.757,3.799,0.09317,18.29,2.936,3.795,0.006886,5.558,background,30/10/2017
0.07143,4.381,3.484,1509642716,2.734,1.68,1.487,4.783,16.59,1.949,4.523,72.22,1.605,5.08,2.859,0.08739,18.95,3.206,3.374,0.00517,6.234,background,30/10/2017
0.07186,4.29,3.266,1509648180,2.986,1.56,1.221,5.115,15.97,1.778,3.971,62.56,1.428,4.854,1.379,0.08781,18.07,2.422,3.592,0.005377,5.767,background,30/10/2017
0.07292,4.262,7.717,1509653604,2.991,2.466,1.712,4.912,16.36,2.097,6.399,102.4,2.278,5.182,4.582,0.09154,19.26,6.469,3.537,0.00638,10.02,background,30/10/2017
0.07505,4.546,23.86,1509659027,2.832,3.678,1.08,5.222,16.82,1.828,3.517,89.84,3.264,5.021,0.6087,0.09686,18.89,18.35,3.496,0.006334,8.556,background,30/10/2017
0.06818,4.294,18.18,1509664389,2.746,3.341,1.073,6.318,15.81,2.356,6.654,82.59,2.99,4.783,0.6416,0.08896,17.91,14.29,3.47,0.00608,7.751,background,30/10/2017
