300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.52046856,6.68773328e-92,1,0.98201016,0.778,0.8,0.68068068,0.43178641,0.51110542,0.22068837,0.31811201,0.40888433,0.1765507,0.13735644
0.53327105,1.97752264e-88,1,0.98265592,0.778,0.8,0.69069069,0.43418379,0.52402195,0.22752184,0.32615126,0.41921756,0.18201747,0.14160959
0.54553134,3.03257795e-85,1,0.98326111,0.778,0.8,0.7007007,0.43647016,0.53639975,0.23412249,0.33385521,0.4291198,0.18729799,0.14571784
0.55732685,2.75136692e-82,1,0.9838586,0.778,0.8,0.71071071,0.43728167,0.54833081,0.23977502,0.3412811,0.43866465,0.19182001,0.14923597
0.56875537,1.71905254e-79,1,0.98444357,0.778,0.8,0.72072072,0.43809318,0.55990756,0.24529169,0.34848647,0.44792605,0.19623335,0.15266955
0.57986082,7.94226802e-77,1,0.98500524,0.778,0.8,0.73073073,0.4389047,0.57116594,0.25068741,0.35549368,0.45693275,0.20054993,0.15602785
0.59065005,2.76334381e-74,1,0.98553989,0.778,0.8,0.74074074,0.43971621,0.58210919,0.25596284,0.36230476,0.46568735,0.20477028,0.15931127
0.60113206,7.37553178e-72,1,0.98604937,0.778,0.8,0.75075075,0.44052772,0.59274589,0.261121,0.36892504,0.47419671,0.2088968,0.16252171
0.61129156,1.49661741e-69,1,0.98653483,0.778,0.8,0.76076076,0.44133923,0.60306042,0.26615422,0.3753448,0.48244833,0.21292338,0.16565439
0.62120753,2.3991345e-67,1,0.98699666,0.778,0.8,0.77077077,0.44215074,0.61312976,0.27109578,0.38161196,0.49050381,0.21687662,0.16873001
0.63093499,3.08507292e-65,1,0.98743975,0.778,0.8,0.78078078,0.44296226,0.62301029,0.27597004,0.3877616,0.49840823,0.22077604,0.17176376
0.64046943,3.32216782e-63,1,0.98786487,0.778,0.8,0.79079079,0.44377377,0.63269725,0.28077444,0.39379077,0.5061578,0.22461955,0.17475401
0.64982331,3.16654597e-61,1,0.98827237,0.778,0.8,0.8008008,0.44464645,0.64220243,0.28555303,0.39970679,0.51376194,0.22844242,0.17772821
0.65906486,3.02193591e-59,1,0.98866149,0.778,0.8,0.81081081,0.4462226,0.65159205,0.2907551,0.40555089,0.52127364,0.23260408,0.18096597
0.66799762,2.3604854e-57,1,0.98903175,0.778,0.8,0.82082082,0.44779875,0.66067086,0.29584759,0.41120154,0.52853669,0.23667807,0.18413554
0.67666933,1.53601003e-55,1,0.98938643,0.778,0.8,0.83083083,0.4493749,0.66948746,0.30085086,0.41668899,0.53558996,0.24068069,0.18724958
0.68508191,8.41654267e-54,1,0.98972644,0.778,0.8,0.84084084,0.45095106,0.67804368,0.30576451,0.42201439,0.54243495,0.24461161,0.19030783
0.69320085,3.81866239e-52,1,0.99005208,0.778,0.8,0.85085085,0.45252721,0.68630495,0.31057166,0.4271562,0.54904396,0.24845733,0.1932998
0.70101692,1.47270074e-50,1,0.99036253,0.778,0.8,0.86086086,0.45410336,0.69426089,0.3152662,0.43210798,0.55540871,0.25221296,0.19622168
