Type,Temperature,DateTime,Timestamp
IMB,38.6275,2017-04-18.06:01:56,1492488116
IMB,38.6583,2017-04-18.06:02:01,1492488121
IMB,38.6552,2017-04-18.06:02:07,1492488127
IMB,38.683,2017-04-18.06:02:12,1492488132
IMB,38.703,2017-04-18.06:02:18,1492488138
IMB,38.686,2017-04-18.06:02:23,1492488143
IMB,38.7215,2017-04-18.06:02:29,1492488149
IMB,38.6984,2017-04-18.06:02:34,1492488154
IMB,38.7138,2017-04-18.06:02:40,1492488160
IMB,38.7215,2017-04-18.06:02:46,1492488166
IMB,38.7662,2017-04-18.06:02:51,1492488171
IMB,38.7615,2017-04-18.06:02:57,1492488177
IMB,38.7677,2017-04-18.06:03:02,1492488182
IMB,38.7677,2017-04-18.06:03:08,1492488188
IMB,38.7646,2017-04-18.06:03:13,1492488193
IMB,38.7554,2017-04-18.06:03:19,1492488199
IMB,38.7877,2017-04-18.06:03:24,1492488204
IMB,38.7831,2017-04-18.06:03:30,1492488210
IMB,38.7969,2017-04-18.06:03:35,1492488215
IMB,38.8077,2017-04-18.06:03:41,1492488221
IMB,38.7923,2017-04-18.06:03:46,1492488226
IMB,38.8262,2017-04-18.06:03:52,1492488232
IMB,38.8,2017-04-18.06:03:57,1492488237
IMB,38.8185,2017-04-18.06:04:03,1492488243
IMB,38.8462,2017-04-18.06:04:09,1492488249
IMB,38.8308,2017-04-18.06:04:14,1492488254
IMB,38.8062,2017-04-18.06:04:20,1492488260
IMB,38.8354,2017-04-18.06:04:25,1492488265
IMB,38.8508,2017-04-18.06:04:31,1492488271
IMB,38.8539,2017-04-18.06:04:36,1492488276
IMB,38.8709,2017-04-18.06:04:42,1492488282
IMB,38.8786,2017-04-18.06:04:47,1492488287
IMB,38.8863,2017-04-18.06:04:53,1492488293
IMB,38.837,2017-04-18.06:04:58,1492488298
IMB,38.78,2017-04-18.06:05:04,1492488304
IMB,38.8308,2017-04-18.06:05:09,1492488309
IMB,38.8108,2017-04-18.06:05:15,1492488315
IMB,38.8046,2017-04-18.06:05:20,1492488320
IMB,38.8154,2017-04-18.06:05:26,1492488326
IMB,38.8292,2017-04-18.06:05:31,1492488331
IMB,38.8647,2017-04-18.06:05:37,1492488337
IMB,38.8832,2017-04-18.06:05:43,1492488343
IMB,38.8539,2017-04-18.06:05:48,1492488348
IMB,38.8508,2017-04-18.06:05:54,1492488354
IMB,38.8801,2017-04-18.06:05:59,1492488359
IMB,38.877,2017-04-18.06:06:05,1492488365
IMB,38.9125,2017-04-18.06:06:10,1492488370
IMB,38.9171,2017-04-18.06:06:16,1492488376
IMB,38.9001,2017-04-18.06:06:21,1492488381
IMB,38.9202,2017-04-18.06:06:27,1492488387
IMB,38.8678,2017-04-18.06:06:32,1492488392
IMB,38.9032,2017-04-18.06:06:38,1492488398
IMB,38.9125,2017-04-18.06:06:43,1492488403
IMB,38.9017,2017-04-18.06:06:49,1492488409
IMB,38.9171,2017-04-18.06:06:54,1492488414
IMB,38.951,2017-04-18.06:07:00,1492488420
IMB,38.9294,2017-04-18.06:07:06,1492488426
IMB,38.9726,2017-04-18.06:07:11,1492488431
IMB,38.9803,2017-04-18.06:07:17,1492488437
IMB,38.9417,2017-04-18.06:07:22,1492488442
IMB,38.9232,2017-04-18.06:07:28,1492488448
IMB,38.9433,2017-04-18.06:07:33,1492488453
IMB,38.991,2017-04-18.06:07:39,1492488459
IMB,39.0033,2017-04-18.06:07:44,1492488464
IMB,39.011,2017-04-18.06:07:50,1492488470
IMB,39.0295,2017-04-18.06:07:55,1492488475
IMB,39.0218,2017-04-18.06:08:01,1492488481
IMB,38.9972,2017-04-18.06:08:06,1492488486
IMB,39.0372,2017-04-18.06:08:12,1492488492
IMB,39.0603,2017-04-18.06:08:18,1492488498
IMB,39.0495,2017-04-18.06:08:23,1492488503
IMB,39.0403,2017-04-18.06:08:29,1492488509
