Energy[keV],EffectiveArea[cm²]
7.788,2.375
7.798,2.357
7.809,2.352
7.82,2.34
7.83,2.334
7.841,2.322
7.852,2.322
7.862,2.316
7.873,2.31
7.883,2.298
7.894,2.287
7.905,2.275
7.915,2.257
7.926,2.245
7.937,2.233
7.947,2.233
7.958,2.216
7.969,2.21
7.979,2.21
7.99,2.198
8,2.198
8.011,2.18
8.022,2.174
8.032,2.162
8.043,2.139
8.054,2.139
8.064,2.133
8.075,2.127
8.086,2.109
8.096,2.103
8.107,2.097
8.117,2.086
8.128,2.056
8.139,2.05
8.149,2.05
8.16,2.021
8.171,2.021
8.181,2.009
8.192,1.997
8.203,1.997
8.213,1.985
8.224,1.985
8.234,1.973
8.245,1.956
8.256,1.956
8.266,1.944
8.277,1.926
8.288,1.926
8.298,1.92
8.309,1.897
8.32,1.897
8.33,1.897
8.341,1.891
8.351,1.885
8.362,1.879
8.373,1.861
8.383,1.849
8.394,1.843
8.405,1.832
8.415,1.826
8.426,1.814
8.437,1.814
8.447,1.802
8.458,1.784
8.468,1.778
8.479,1.761
8.49,1.755
8.5,1.743
8.511,1.731
8.522,1.719
8.532,1.713
8.543,1.708
8.554,1.702
8.564,1.702
8.575,1.702
8.585,1.696
8.596,1.672
8.607,1.666
8.617,1.66
8.628,1.648
8.639,1.643
8.649,1.631
8.66,1.613
8.671,1.607
8.681,1.595
8.692,1.578
8.702,1.566
8.713,1.566
8.724,1.566
8.734,1.548
8.745,1.554
8.756,1.554
8.766,1.542
8.777,1.542
8.787,1.524
8.798,1.513
8.809,1.513
8.819,1.513
8.83,1.495
8.841,1.477
8.851,1.477
8.862,1.471
8.873,1.465
8.883,1.453
8.894,1.453
8.904,1.453
8.915,1.436
8.926,1.424
8.936,1.424
8.947,1.424
8.958,1.4
8.968,1.388
8.979,1.388
8.99,1.383
9,1.371
9.011,1.359
9.021,1.353
9.032,1.347
9.043,1.341
9.053,1.323
9.064,1.323
9.075,1.323
9.085,1.306
9.096,1.3
9.107,1.3
9.117,1.3
9.128,1.294
9.138,1.288
9.149,1.282
9.16,1.258
9.17,1.247
9.181,1.241
9.192,1.229
9.202,1.223
9.213,1.223
9.224,1.217
9.234,1.205
9.245,1.205
9.255,1.199
9.266,1.188
9.277,1.182
9.287,1.176
9.298,1.17
9.309,1.152
9.319,1.152
9.33,1.14
9.341,1.14
9.351,1.129
9.362,1.111
9.372,1.111
9.383,1.105
9.394,1.099
9.404,1.099
9.415,1.093
9.426,1.081
9.436,1.081
9.447,1.064
9.458,1.052
9.468,1.052
9.479,1.034
9.489,1.028
9.5,1.028
9.511,1.01
9.521,1.004
9.532,1.004
9.543,0.9926
9.553,0.9867
9.564,0.9867
9.575,0.9808
9.585,0.9749
9.596,0.969
9.606,0.9631
9.617,0.9572
9.628,0.9453
9.638,0.9453
9.649,0.9394
9.66,0.9217
9.67,0.9217
9.681,0.9158
9.692,0.9099
9.702,0.9099
9.713,0.904
9.723,0.8863
9.734,0.8863
9.745,0.8804
9.755,0.8685
9.766,0.8685
9.777,0.8626
9.787,0.8508
9.798,0.8508
9.809,0.8508
9.819,0.8449
9.83,0.8331
9.84,0.8272
9.851,0.8154
9.862,0.8095
9.872,0.8095
9.883,0.7976
9.894,0.7976
9.904,0.7799
9.915,0.7799
9.926,0.7799
9.936,0.7622
9.947,0.7681
9.957,0.7622
9.968,0.7563
9.979,0.7563
9.989,0.7504
10,0.7445
