limits,candsInSens
7.65294664e-23,0
7.14190638e-23,0
6.80493943e-23,0
7.96432521e-23,2
8.43156234e-23,1
9.68784077e-23,2
8.34832465e-23,2
7.84021099e-23,2
8.35818919e-23,1
7.3336961e-23,1
7.03351067e-23,1
7.23858862e-23,0
7.73268404e-23,1
6.78778257e-23,0
7.42756451e-23,0
8.94946394e-23,2
6.71974457e-23,0
8.09912559e-23,1
7.03085417e-23,0
8.03023706e-23,2
8.05412552e-23,1
8.07435993e-23,1
6.8827454e-23,0
7.58242985e-23,1
7.90212489e-23,2
7.1116479e-23,0
1.11090866e-22,3
7.72810781e-23,1
1.09043845e-22,3
8.53314539e-23,0
9.31053186e-23,2
9.60588439e-23,1
7.13182323e-23,1
7.81371589e-23,2
7.00130803e-23,1
8.86684584e-23,2
8.21382395e-23,1
9.21853494e-23,1
6.72611716e-23,0
8.91163713e-23,3
8.65217688e-23,1
6.93070593e-23,0
6.9009583e-23,0
6.6834505e-23,0
8.93442014e-23,1
6.87167843e-23,0
9.88200452e-23,4
9.66182892e-23,1
9.04354605e-23,2
8.9108908e-23,1
7.90781727e-23,1
6.94802292e-23,0
9.2862784e-23,2
6.70465023e-23,0
6.92134524e-23,1
8.58125027e-23,3
7.55286031e-23,1
6.71332704e-23,0
6.60357446e-23,0
6.90545966e-23,1
8.62600199e-23,0
8.84138196e-23,2
7.42078346e-23,2
7.48693634e-23,3
7.46174266e-23,1
6.80600572e-23,0
1.00703568e-22,2
8.34603424e-23,2
7.60547578e-23,2
7.93621503e-23,1
6.99833242e-23,0
8.42843213e-23,0
1.11827625e-22,3
8.55254486e-23,1
7.04378195e-23,1
9.59128697e-23,2
6.70856333e-23,0
8.90642563e-23,2
8.91558737e-23,2
9.11055387e-23,2
9.47767097e-23,3
7.60106178e-23,0
6.88523938e-23,0
7.70397258e-23,1
7.99470525e-23,1
8.17355505e-23,1
8.85703505e-23,1
7.18972424e-23,0
1.01476157e-22,3
8.91823014e-23,2
