limits,candsInSens
2.53724984e+42,2
1.90814443e+42,1
1.42723117e+42,2
1.30752871e+42,0
2.02631834e+42,1
2.05028472e+42,0
2.07194251e+42,4
1.60962364e+42,1
1.41193997e+42,1
3.17637732e+42,2
2.63046891e+42,2
1.95007084e+42,3
1.17187147e+42,1
3.39225374e+42,1
1.30629664e+42,2
1.54063093e+42,1
1.2449764e+42,2
1.98148838e+42,2
1.78245032e+42,3
1.63907546e+42,1
1.19452639e+42,1
2.69176553e+42,6
2.29585758e+42,6
1.32972815e+42,2
1.67432019e+42,3
1.45096664e+42,2
1.53689325e+42,2
1.4991964e+42,2
1.54737278e+42,2
1.7334175e+42,1
1.17862404e+42,1
1.28640186e+42,0
1.6755859e+42,4
1.87928644e+42,3
2.70072407e+42,3
1.17116882e+42,1
2.15062056e+42,3
1.23763628e+42,2
1.31869274e+42,0
1.37476084e+42,1
8.31683458e+41,0
1.72186006e+42,2
1.4021292e+42,0
1.33497039e+42,2
2.09802393e+42,3
1.54281904e+42,1
1.46430442e+42,3
1.57750595e+42,3
1.69515857e+42,1
1.46555917e+42,0
1.41809896e+42,3
3.27868348e+42,3
2.11116549e+42,3
2.00409752e+42,2
4.04359963e+42,3
1.16702464e+42,1
1.16243303e+42,0
1.58641805e+42,1
1.54014143e+42,1
2.04624021e+42,3
1.13714825e+42,1
2.95536098e+42,3
1.22671951e+42,0
2.72928736e+42,4
1.14412897e+42,1
1.60587411e+42,2
2.08051094e+42,2
1.25674492e+42,1
1.19258715e+42,2
1.51493402e+42,2
2.02861587e+42,2
3.7169852e+42,5
2.40619465e+42,3
9.86659819e+41,1
2.16379626e+42,2
1.48653468e+42,1
1.52713165e+42,2
2.44384333e+42,2
1.81172974e+42,2
1.40962767e+42,1
1.44918561e+42,1
1.90859727e+42,4
1.88834844e+42,3
1.42020125e+42,3
1.4339457e+42,2
2.43654611e+42,3
1.64983494e+42,1
1.81582775e+42,3
9.22958584e+41,0
1.4394842e+42,1
2.96433508e+42,5
2.53691273e+42,4
1.77730416e+42,1
2.36652648e+42,3
1.04287553e+42,2
1.34420102e+42,0
2.11612294e+42,3
1.69671941e+42,1
2.13176461e+42,5
1.17311142e+42,0
1.12406048e+42,0
1.67230292e+42,1
1.75205368e+42,3
2.21036958e+42,3
1.75621356e+42,1
2.11372353e+42,2
3.06805457e+42,4
1.42297911e+42,2
9.58702028e+41,0
2.09250711e+42,0
9.07180601e+41,1
2.1849107e+42,4
2.6784164e+42,2
1.57717488e+42,3
8.36385266e+41,0
1.00788997e+42,2
1.55825603e+42,2
1.14362333e+42,0
1.96311278e+42,3
2.23790928e+42,4
1.20662821e+42,1
2.74369559e+42,3
2.74603137e+42,3
2.26704165e+42,2
2.49470228e+42,4
1.09284776e+42,2
1.14676285e+42,0
1.7480759e+42,2
2.00052366e+42,5
3.01414171e+42,5
1.54072725e+42,3
1.63667642e+42,2
2.69388043e+42,3
2.26544936e+42,2
1.18177743e+42,1
2.01136921e+42,3
1.67704216e+42,0
1.60918251e+42,0
9.86428027e+41,2
1.37039504e+42,0
1.41262837e+42,0
9.02721649e+41,0
1.72557099e+42,3
1.12193006e+42,0
1.70398696e+42,3
1.30623699e+42,1
1.47354381e+42,2
1.32017777e+42,2
1.87286556e+42,3
1.16958004e+42,1
2.15410174e+42,3
2.07348087e+42,2
1.60601788e+42,2
1.76237194e+42,1
1.57215899e+42,2
2.13153422e+42,3
2.04344325e+42,2
1.25694903e+42,2
1.30165444e+42,1
1.93638245e+42,3
1.20343142e+42,1
1.40392954e+42,1
1.0051013e+42,0
1.12667442e+42,0
1.54084091e+42,2
1.62223304e+42,2
1.79146826e+42,0
3.3509759e+42,3
