limits,candsInSens
5.33851516e-41,0
7.99933491e-41,1
1.29263091e-40,1
1.21248728e-40,2
4.33213351e-41,0
7.33953035e-41,0
6.2644894e-41,1
5.07489296e-41,0
6.14610239e-41,0
7.90036914e-41,1
6.19375843e-41,1
6.49892551e-41,0
6.51000536e-41,1
7.625243e-41,2
5.79847348e-41,0
5.81642058e-41,0
6.79610961e-41,0
5.92944585e-41,0
6.36489431e-41,0
5.35998067e-41,0
4.46892908e-41,0
6.94384507e-41,1
9.68636264e-41,2
7.33971506e-41,0
6.09023972e-41,0
4.43566494e-41,0
5.54561006e-41,0
8.83833621e-41,0
7.3504946e-41,1
5.43019207e-41,0
5.49200732e-41,0
1.40990039e-39,0
6.42206724e-41,0
8.42704459e-41,1
1.05458165e-40,0
5.16040683e-41,0
5.44773757e-41,0
1.04580332e-40,2
5.03403938e-41,0
5.13596696e-41,0
7.38097714e-41,1
7.44572553e-41,0
5.4834131e-41,0
5.17763966e-41,1
1.07326671e-40,1
1.03768525e-40,1
5.33099196e-41,0
5.02965364e-41,0
6.34475029e-41,0
8.05349219e-41,1
6.42895679e-41,0
6.13913259e-41,0
6.05614485e-41,1
5.98271479e-41,0
5.87618439e-41,0
4.28451924e-41,0
6.98452069e-41,0
5.0909706e-41,0
7.08344286e-41,2
1.15758709e-40,1
7.55269926e-41,3
7.95854094e-41,2
7.77138367e-41,1
6.32642669e-41,0
7.37177289e-41,1
9.51149145e-41,1
7.87342813e-41,0
5.56681024e-41,0
1.10843232e-40,1
6.84397275e-41,0
9.97150797e-41,3
1.08248181e-40,1
7.03238854e-41,0
6.93935882e-41,1
4.51206654e-41,1
9.18258065e-41,2
5.76501105e-41,1
7.67981088e-41,0
7.30983155e-41,1
1.27458834e-40,3
4.80116135e-41,0
1.20803493e-40,1
4.49464232e-41,0
4.72117315e-41,0
5.9684962e-41,0
6.62774465e-41,1
1.14343686e-40,2
7.95960638e-41,1
8.44390903e-41,0
7.02402979e-41,1
1.12630963e-40,2
7.49051272e-41,0
7.32757987e-41,2
7.14189918e-41,0
9.93884879e-41,0
1.20539116e-40,1
4.41967494e-41,0
4.7496156e-41,0
7.74241806e-41,1
1.18381501e-40,3
5.42245229e-41,1
7.63892219e-41,1
5.717598e-41,0
5.36027609e-41,0
7.70446391e-41,1
6.48438977e-41,1
5.62254574e-41,0
9.81404329e-41,2
4.0741261e-41,0
4.780402e-41,0
8.72640548e-41,2
7.20931126e-41,0
8.01213579e-41,1
5.37856313e-41,0
1.0508822e-40,1
6.70362552e-41,1
5.97787275e-41,0
4.99764832e-41,0
1.51136733e-40,4
1.06352682e-40,1
6.31774584e-41,0
5.14102501e-41,0
9.08769524e-41,0
8.8737863e-41,1
7.22965862e-41,1
5.78246814e-41,0
9.23484811e-41,3
8.01341451e-41,2
6.29045806e-41,1
1.0184091e-40,1
5.09847869e-41,0
4.24613346e-41,0
6.27440831e-41,0
1.14049321e-40,4
6.2928046e-41,0
6.25588717e-41,0
7.49475518e-41,0
1.29192486e-40,0
7.27576846e-41,0
4.59727193e-41,0
5.88603297e-41,1
6.48723443e-41,0
7.02667502e-41,0
5.09095892e-41,1
1.50426648e-40,4
5.17224545e-41,1
9.53180354e-41,1
4.54616353e-41,0
7.66514609e-41,1
7.3212732e-41,0
1.10890692e-40,0
5.97446732e-41,0
4.71492767e-41,0
8.90918782e-41,2
6.31768078e-41,0
6.50911408e-41,0
9.91670185e-41,1
5.67532928e-41,0
6.74256024e-41,1
8.45964777e-41,0
8.7416409e-41,2
4.94102705e-41,1
1.01248539e-40,1
6.72745499e-41,0
1.12207956e-40,2
7.59991688e-41,0
6.88753235e-41,0
9.08058415e-41,1
7.92295883e-41,1
6.63017451e-41,0
1.30242241e-40,3
6.90959142e-41,1
4.95546522e-41,0
5.23818953e-41,0
6.51849749e-41,0
5.04440039e-41,0
5.49855893e-41,1
4.58616006e-41,0
5.7130323e-41,0
1.47029607e-40,1
5.60246571e-41,0
9.90548304e-41,1
7.33738158e-41,0
5.89541749e-41,0
8.0157707e-41,2
6.94119397e-41,0
8.6534831e-41,0
8.80905357e-41,1
7.48394026e-41,1
7.36573951e-41,1
7.73491803e-41,0
5.00486411e-41,0
6.40637913e-41,1
6.05937714e-41,1
6.89367391e-41,0
4.31366001e-41,0
9.5835842e-41,1
6.48000285e-41,1
9.09212553e-41,0
6.67019337e-41,1
1.11895404e-40,1
9.49754906e-41,1
1.15174393e-40,2
9.69835283e-41,2
